Last Name,First Name,Tm,Lg,G,GS,Rtot,Pos Summary
Pride,Curtis,ANA,AL,24,4,0.0,OF
Prieto,Alex,MIN,AL,15,9,0.0,2B-SS-3B
Pujols,Albert,STL,NL,150,150,15.0,1B
Punto,Nick,MIN,AL,32,22,2.0,2B-SS-OF-3B
Pérez,Eddie,ATL,NL,67,42,4.0,C-1B
Quinlan,Robb,ANA,AL,50,38,-2.0,3B-1B-OF
Quintero,Humberto,SDP,NL,21,19,0.0,C
Quiroz,Guillermo,TOR,AL,15,13,-2.0,C
Raburn,Ryan,DET,AL,11,7,0.0,2B
Raines Jr.,Tim,BAL,AL,38,21,8.0,OF
Ramirez,Aramis,CHC,NL,144,141,1.0,3B
Ramirez,Manny,BOS,AL,132,132,-11.0,OF
Randa,Joe,KCR,AL,121,120,5.0,3B-1B
Ransom,Cody,SFG,NL,61,12,-5.0,SS-2B-OF-3B
Redman,Tike,PIT,NL,147,134,8.0,OF
Redmond,Mike,FLA,NL,79,71,-2.0,C
Reed,Jeremy,SEA,AL,16,14,3.0,OF
Reese,Pokey,BOS,AL,94,75,20.0,SS-2B
Relaford,Desi,KCR,AL,111,103,1.0,3B-2B-OF-SS
Renteria,Edgar,STL,NL,149,148,7.0,SS
Restovich,Michael,MIN,AL,19,9,-3.0,OF
Reyes,José,NYM,NL,50,48,4.0,2B-SS
Reyes,Rene,COL,NL,21,12,-1.0,OF
Riggs,Adam,ANA,AL,10,5,1.0,OF-2B-1B
Rios,Alex,TOR,AL,111,109,1.0,OF
Rivas,Luis,MIN,AL,109,95,-5.0,2B
Rivera,Carlos,PIT,NL,7,4,0.0,1B
Rivera,Juan,MON,NL,121,93,-2.0,OF
Rivera,René,SEA,AL,2,0,0.0,C
Roberts,Brian,BAL,AL,150,148,-7.0,2B
Roberts,Dave,TOT,ZZ,100,76,6.0,OF
Robinson,Kerry,SDP,NL,49,7,-6.0,OF
Rodriguez,Alex,NYY,AL,155,155,3.0,3B-SS
Rodriguez,Ivan,DET,AL,124,123,-3.0,C
Rolen,Scott,STL,NL,141,139,27.0,3B
Rollins,Jimmy,PHI,NL,154,153,11.0,SS
Rolls,Damian,TBD,AL,44,28,-3.0,OF-3B-2B-1B
Romano,Jason,TOT,MLB,13,6,-3.0,OF-2B
Rose,Mike,OAK,AL,2,0,0.0,C
Ross,David,LAD,NL,67,51,1.0,C
Rowand,Aaron,CHW,AL,137,122,8.0,OF
Ryan,Mike,MIN,AL,15,7,1.0,OF
Sadler,Donnie,ARI,NL,13,2,0.0,SS-OF-2B-3B
Saenz,Olmedo,LAD,NL,27,14,1.0,1B-3B
Salmon,Tim,ANA,AL,8,7,1.0,OF
Sanchez,Alex,DET,AL,78,77,-2.0,OF
Sanchez,Freddy,PIT,NL,6,4,-2.0,2B-SS-3B
Sanchez,Rey,TBD,AL,89,82,16.0,2B-SS
Sanders,Reggie,STL,NL,119,112,7.0,OF
Santiago,Benito,KCR,AL,49,48,-4.0,C
Santiago,Ramon,SEA,AL,16,10,-2.0,SS
Schneider,Brian,MON,NL,133,125,16.0,C
Scutaro,Marco,OAK,AL,136,117,-5.0,2B-SS-3B
Segui,David,BAL,AL,2,2,0.0,1B
Sexson,Richie,ARI,NL,23,23,3.0,1B
Sheffield,Gary,NYY,AL,136,136,-11.0,OF-3B
Shelton,Chris,DET,AL,15,2,-1.0,1B-C-OF
Sierra,Ruben,NYY,AL,29,22,0.0,OF
Simon,Randall,TOT,ZZ,47,42,0.0,1B
Simontacchi,Jason,STL,NL,14,0,0.0,P-OF
Sizemore,Grady,CLE,AL,42,38,8.0,OF
Sledge,Terrmel,MON,NL,122,102,17.0,OF-1B
Smith,Jason,DET,AL,55,40,-3.0,2B-SS-3B
Snead,Esix,NYM,NL,1,0,0.0,OF
Snow,J.T.,SFG,NL,100,88,-5.0,1B
Snyder,Chris,ARI,NL,29,27,-1.0,C
Snyder,Earl,BOS,AL,1,1,0.0,3B
Soriano,Alfonso,TEX,AL,142,142,-20.0,2B
Sosa,Sammy,CHC,NL,124,124,6.0,OF
Spencer,Shane,NYM,NL,63,39,7.0,OF-1B
Spiezio,Scott,SEA,AL,106,95,9.0,3B-1B
Spivey,Junior,MIL,NL,58,58,1.0,2B-SS
Stairs,Matt,KCR,AL,98,93,-15.0,OF-1B
Stewart,Shannon,MIN,AL,71,71,-11.0,OF
Stinnett,Kelly,KCR,AL,20,17,-2.0,C
Stynes,Chris,PIT,NL,71,39,4.0,3B
Surhoff,B.J.,BAL,AL,78,70,8.0,OF-1B
Sutton,Larry,FLA,NL,1,0,0.0,1B
Suzuki,Ichiro,SEA,AL,158,158,27.0,OF
Sweeney,Mark,COL,NL,42,29,-3.0,OF-1B
Sweeney,Mike,KCR,AL,55,55,-7.0,1B
Swisher,Nick,OAK,AL,17,16,0.0,OF-1B
Taguchi,So,STL,NL,103,36,2.0,OF
Taveras,Willy,HOU,NL,7,0,0.0,OF
Teixeira,Mark,TEX,AL,143,142,7.0,1B-OF
Tejada,Miguel,BAL,AL,162,162,2.0,SS
Terrero,Luis,ARI,NL,61,59,-3.0,OF
Thames,Marcus,DET,AL,52,38,7.0,OF
Thomas,Charles,ATL,NL,71,62,14.0,OF
Thomas,Frank,CHW,AL,4,4,1.0,1B
Thome,Jim,PHI,NL,134,134,3.0,1B
Thompson,Rich,KCR,AL,3,0,0.0,OF
Thurston,Joe,LAD,NL,4,0,0.0,2B
Tiffee,Terry,MIN,AL,13,11,1.0,3B-1B
Tonis,Mike,KCR,AL,2,2,-1.0,C
Torrealba,Yorvit,SFG,NL,59,45,0.0,C
Torres,Andres,DET,AL,1,0,0.0,OF
Tracy,Andy,COL,NL,1,1,0.0,3B
Tracy,Chad,ARI,NL,138,122,6.0,3B-1B-OF
Treanor,Matt,FLA,NL,27,14,-1.0,C
Tremie,Chris,HOU,NL,1,0,0.0,C
Tucker,Michael,SFG,NL,124,114,-1.0,OF
Upton,B.J.,TBD,AL,30,29,-4.0,SS-3B-OF
Uribe,Juan,CHW,AL,130,121,4.0,2B-SS-3B
Utley,Chase,PHI,NL,63,57,4.0,2B-1B
Valdez,Wilson,CHW,AL,17,12,0.0,SS-2B
Valent,Eric,NYM,NL,68,56,0.0,OF-1B
Valentin,Javier,CIN,NL,61,47,-4.0,C-1B
Valentin,Jose,CHW,AL,122,117,9.0,SS
Vander Wal,John,CIN,NL,11,7,-1.0,OF-1B
Varitek,Jason,BOS,AL,130,121,3.0,C
Ventura,Robin,LAD,NL,50,25,4.0,1B-3B-P
Vidro,Jose,MON,NL,105,104,-11.0,2B
Vina,Fernando,DET,AL,29,28,2.0,2B
Vizcaino,Jose,HOU,NL,105,78,6.0,SS-2B-3B-1B
Vizquel,Omar,CLE,AL,147,141,-1.0,SS
Vázquez,Ramón,SDP,NL,41,24,1.0,SS-2B-3B-1B
Walker,Larry,TOT,NL,75,69,1.0,OF
Walker,Todd,CHC,NL,95,88,3.0,2B-1B-OF
Ward,Daryle,PIT,NL,74,73,0.0,1B-OF
Wells,Vernon,TOR,AL,131,130,-6.0,OF
Werth,Jayson,LAD,NL,79,70,8.0,OF
White,Rondell,DET,AL,74,73,0.0,OF
Wigginton,Ty,TOT,NL,141,131,-7.0,3B-2B-1B
Wilkerson,Brad,MON,NL,157,154,14.0,1B-OF
Williams,Bernie,NYY,AL,97,93,-22.0,OF
Williams,Gerald,NYM,NL,45,27,-2.0,OF
Willingham,Josh,FLA,NL,8,6,-1.0,C-OF
Wilson,Craig,PIT,NL,151,148,-16.0,OF-1B-C
Wilson,Dan,SEA,AL,103,91,5.0,C
Wilson,Enrique,NYY,AL,91,68,-1.0,2B-SS
Wilson,Jack,PIT,NL,156,155,8.0,SS
Wilson,Preston,COL,NL,52,51,-4.0,OF
Wilson,Tom,TOT,NL,10,1,0.0,C
Wilson,Vance,NYM,NL,69,38,1.0,C
Winn,Randy,SEA,AL,154,151,-1.0,OF
Wise,Dewayne,ATL,NL,56,31,0.0,OF
Womack,Tony,STL,NL,133,125,12.0,2B
Woodward,Chris,TOR,AL,64,60,4.0,SS
Wooten,Shawn,PHI,NL,15,9,0.0,1B-3B
Wright,David,NYM,NL,69,68,1.0,3B
Youkilis,Kevin,BOS,AL,65,54,8.0,3B
Young,Dmitri,DET,AL,27,27,5.0,1B-OF-3B
Young,Michael,TEX,AL,158,158,-25.0,SS
Young Sr.,Eric,TEX,AL,75,66,-12.0,OF-2B-SS-3B
Zaun,Gregg,TOR,AL,97,91,-1.0,C
Zeile,Todd,NYM,NL,102,75,-6.0,1B-3B-C-P
Zinter,Alan,ARI,NL,8,3,1.0,1B
