Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS
Reed,Steve,1008,COL,NL,2,0,0,0,0.5,1.0
Reed*,Jeremy,1007,SEA,AL,66,0,5,3,0.397,0.935
Reese,Pokey,1009,BOS,AL,268,3,29,6,0.221,0.574
Reith,Brian,1010,CIN,NL,0,0,0,0,,
Reitsma,Chris,1011,ATL,NL,0,0,0,0,,
Relaford#,Desi,1012,KCR,AL,430,6,34,5,0.221,0.601
Remlinger*,Mike,1013,CHC,NL,1,0,0,0,0.0,0.0
Renteria,Edgar,1014,STL,NL,642,10,72,17,0.287,0.728
Restovich,Michael,1015,MIN,AL,51,2,6,0,0.255,0.761
Reyes,Alberto,1016,STL,NL,1,0,0,0,1.0,2.0
Reyes,Dennys,1017,KCR,AL,6,0,0,0,0.0,0.0
Reyes#,José,1018,NYM,NL,229,2,14,19,0.255,0.644
Reyes#,Rene,1019,COL,NL,66,0,1,0,0.148,0.392
Reynolds,Shane,1020,ARI,NL,0,0,0,0,,
Rhodes*,Arthur,1021,OAK,AL,0,0,0,0,,
Riedling,John,1022,CIN,NL,3,0,0,0,0.0,0.0
Riggs,Adam,1023,ANA,AL,37,0,3,1,0.194,0.494
Riley*,Matt,1024,BAL,AL,2,0,0,0,0.0,0.0
Rincon,Juan,1025,MIN,AL,1,0,0,0,0.0,0.0
Rincon*,Ricardo,1026,OAK,AL,0,0,0,0,,
Rios,Alex,1027,TOR,AL,460,1,28,15,0.286,0.72
Riske,David,1028,CLE,AL,0,0,0,0,,
Rivas,Luis,1029,MIN,AL,358,10,34,15,0.256,0.715
Rivera,Juan,1031,MON,NL,426,12,49,6,0.307,0.829
Rivera,Mariano,1032,NYY,AL,0,0,0,0,,
Rivera,René,1033,SEA,AL,3,0,0,0,0.0,0.0
Rivera*,Carlos,1030,PIT,NL,17,0,1,0,0.2,0.45
Roa,Joe,1034,MIN,AL,0,0,0,0,,
Roberts,Grant,1039,NYM,NL,0,0,0,0,,
Roberts,Willis,1040,PIT,NL,1,0,0,0,0.0,0.0
Roberts#,Brian,1035,BAL,AL,736,4,53,29,0.273,0.72
Roberts*,Dave,1036,TOT,MLB,371,4,35,38,0.254,0.716
Robertson,Nate,1042,DET,AL,3,0,0,0,0.0,0.0
Robertson*,Jeriome,1041,CLE,AL,0,0,0,0,,
Robinson*,Kerry,1043,SDP,NL,101,0,5,11,0.293,0.667
Rodriguez,Alex,1044,NYY,AL,698,36,106,28,0.286,0.888
Rodriguez,Eddy,1045,BAL,AL,1,0,0,0,0.0,0.0
Rodriguez,Felix,1046,TOT,NL,1,0,0,0,0.0,0.0
Rodriguez,Ivan,1050,DET,AL,575,19,86,7,0.334,0.893
Rodriguez*,Ricardo,1051,TEX,AL,2,0,0,0,0.0,0.0
Rodríguez,Francisco,1049,ANA,AL,0,0,0,0,,
Rogers*,Kenny,1052,TEX,AL,5,0,0,0,0.0,0.0
Rolen,Scott,1053,STL,NL,593,34,124,4,0.314,1.007
Rollins#,Jimmy,1054,PHI,NL,725,14,73,30,0.289,0.803
Rolls,Damian,1055,TBD,AL,132,0,9,2,0.162,0.436
Romano,Jason,1056,TOT,MLB,37,1,4,0,0.147,0.43
Romero#,J.C.,1059,MIN,AL,0,0,0,0,,
Rose#,Mike,1060,OAK,AL,2,0,0,0,0.0,0.0
Ross,David,1061,LAD,NL,190,5,15,0,0.17,0.544
Rowand,Aaron,1062,CHW,AL,534,24,69,17,0.31,0.905
Rueter*,Kirk,1063,SFG,NL,67,0,2,0,0.131,0.336
Rusch*,Glendon,1064,CHC,NL,46,2,3,0,0.154,0.487
Ryan*,B.J.,1065,BAL,AL,0,0,0,0,,
Ryan*,Mike,1066,MIN,AL,75,0,7,1,0.239,0.576
Sabathia*,CC,1067,CLE,AL,4,0,0,0,0.25,0.5
Sadler,Donnie,1068,ARI,NL,24,0,0,0,0.13,0.384
Saenz,Chris,1069,MIL,NL,2,0,0,0,0.0,0.0
Saenz,Olmedo,1070,LAD,NL,128,8,22,0,0.279,0.856
Salmon,Tim,1071,ANA,AL,206,2,23,1,0.253,0.628
Sanchez,Duaner,1073,LAD,NL,5,0,2,0,0.25,0.75
Sanchez,Freddy,1074,PIT,NL,20,0,2,0,0.158,0.316
Sanchez,Rey,1076,TBD,AL,307,2,26,0,0.246,0.617
Sanchez*,Alex,1072,DET,AL,352,2,26,19,0.322,0.721
Sanchez*,Jesus,1075,CIN,NL,5,0,0,0,0.0,0.0
Sanders,Reggie,1077,STL,NL,487,22,67,21,0.26,0.797
Santana*,Johan,1078,MIN,AL,8,0,2,0,0.375,0.75
Santiago,Benito,1079,KCR,AL,189,6,23,1,0.274,0.746
Santiago#,Ramon,1080,SEA,AL,45,0,2,0,0.179,0.461
Santos,Victor,1081,MIL,NL,47,0,1,0,0.051,0.174
Schilling,Curt,1082,BOS,AL,7,0,0,0,0.143,0.286
Schmidt,Jason,1083,SFG,NL,84,2,3,0,0.136,0.424
Schneider*,Brian,1084,MON,NL,488,12,49,0,0.257,0.724
Schoeneweis*,Scott,1085,CHW,AL,2,0,0,0,0.5,1.5
Scutaro,Marco,1086,OAK,AL,477,7,43,0,0.273,0.69
Seanez,Rudy,1087,TOT,MLB,0,0,0,0,,
Segui#,David,1090,BAL,AL,65,1,7,0,0.339,0.841
Sele,Aaron,1091,ANA,AL,1,0,0,0,0.0,0.0
Service,Scott,1093,ARI,NL,1,0,0,0,0.0,0.0
Sexson,Richie,1094,ARI,NL,104,9,23,0,0.233,0.914
Sheets,Ben,1095,MIL,NL,81,0,1,0,0.134,0.329
Sheffield,Gary,1096,NYY,AL,684,36,121,5,0.29,0.927
Shelton,Chris,1097,DET,AL,56,1,3,0,0.196,0.604
Shields,Scot,1098,ANA,AL,1,0,0,0,0.0,0.0
Shouse*,Brian,1099,TEX,AL,0,0,0,0,,
Sierra#,Ruben,1100,NYY,AL,338,17,65,1,0.244,0.752
Silva,Carlos,1101,MIN,AL,3,0,0,0,0.0,0.0
Simon*,Randall,1102,TOT,MLB,214,3,14,0,0.188,0.532
Simontacchi,Jason,1105,STL,NL,2,0,0,0,0.5,1.0
Simpson,Allan,1106,COL,NL,1,0,0,0,0.0,0.0
Sizemore*,Grady,1107,CLE,AL,159,4,24,2,0.246,0.739
Sledge*,Terrmel,1108,MON,NL,446,15,62,3,0.269,0.799
Small,Aaron,1109,FLA,NL,2,0,0,0,0.0,0.0
Smith,Travis,1111,ATL,NL,8,0,0,0,0.125,0.25
Smith*,Jason,1110,DET,AL,169,5,19,1,0.239,0.713
Smoltz,John,1112,ATL,NL,2,0,0,0,0.0,0.0
Snead#,Esix,1113,NYM,NL,0,0,0,0,,
Snell,Ian,1114,PIT,NL,3,0,0,0,0.0,0.0
Snow*,J.T.,1115,SFG,NL,417,12,60,4,0.327,0.958
Snyder,Chris,1116,ARI,NL,110,5,15,0,0.24,0.786
Snyder,Earl,1117,BOS,AL,4,0,0,0,0.25,0.5
Soriano,Alfonso,1118,TEX,AL,658,28,91,18,0.28,0.807
Sosa,Jorge,1119,TBD,AL,0,0,0,0,,
Sosa,Sammy,1120,CHC,NL,539,35,80,0,0.253,0.849
Sparks,Steve,1121,ARI,NL,32,0,1,0,0.129,0.258
Speier,Justin,1122,TOR,AL,1,0,0,0,0.0,0.0
Spencer,Shane,1123,NYM,NL,204,4,26,6,0.281,0.742
Spiezio#,Scott,1124,SEA,AL,415,10,41,4,0.215,0.634
Spivey,Junior,1125,MIL,NL,263,7,28,5,0.272,0.78
Springer,Russ,1126,HOU,NL,0,0,0,0,,
Stairs*,Matt,1127,KCR,AL,496,18,66,1,0.267,0.796
Stanton*,Mike,1128,NYM,NL,2,0,1,0,0.5,1.0
Stark,Denny,1129,COL,NL,9,0,0,0,0.0,0.111
Stewart,Scott,1130,TOT,MLB,0,0,0,0,,
Stewart,Shannon,1132,MIN,AL,430,11,47,6,0.304,0.827
Stinnett,Kelly,1133,KCR,AL,69,3,7,0,0.305,0.836
Stone,Ricky,1134,TOT,NL,1,0,0,0,0.0,0.0
Sturtze,Tanyon,1137,NYY,AL,3,0,0,0,0.0,0.0
Stynes,Chris,1138,PIT,NL,174,1,16,0,0.216,0.562
Sullivan,Scott,1139,KCR,AL,0,0,0,0,,
Suppan,Jeff,1140,STL,NL,65,0,0,0,0.07,0.156
Surhoff*,B.J.,1141,BAL,AL,378,8,50,2,0.309,0.785
Sutton*,Larry,1142,FLA,NL,6,0,1,0,0.2,0.533
Suzuki*,Ichiro,1143,SEA,AL,762,8,60,36,0.372,0.869
Sweeney,Brian,1144,SDP,NL,4,0,0,0,0.0,0.0
Sweeney,Mike,1146,KCR,AL,452,22,79,3,0.287,0.851
Sweeney*,Mark,1145,COL,NL,215,9,40,1,0.266,0.885
Swisher#,Nick,1147,OAK,AL,71,2,8,0,0.25,0.769
Szuminski,Jason,1148,SDP,NL,1,0,0,0,0.0,0.0
Tadano,Kazuhito,1149,CLE,AL,3,0,0,0,0.333,0.667
Taguchi,So,1150,STL,NL,206,3,25,6,0.291,0.756
Takatsu,Shingo,1151,CHW,AL,0,0,0,0,,
Tankersley,Dennis,1152,SDP,NL,10,0,1,0,0.25,0.583
Tavarez*,Julian,1153,STL,NL,0,0,0,0,,
Taveras,Willy,1154,HOU,NL,2,0,0,1,0.0,0.0
Taylor,Aaron,1155,SEA,AL,0,0,0,0,,
Teixeira#,Mark,1156,TEX,AL,625,38,112,4,0.281,0.929
Tejada,Miguel,1157,BAL,AL,725,34,150,4,0.311,0.894
Tejera*,Michael,1158,TOT,MLB,0,0,0,0,,
Telemaco,Amaury,1160,PHI,NL,4,0,0,0,0.0,0.0
Terrero,Luis,1161,ARI,NL,255,4,14,10,0.245,0.677
Thames,Marcus,1162,DET,AL,184,10,33,0,0.255,0.835
Thomas,Frank,1164,CHW,AL,311,18,49,0,0.271,0.997
Thomas*,Charles,1163,ATL,NL,267,7,31,3,0.288,0.813
Thome*,Jim,1165,PHI,NL,618,42,105,0,0.274,0.977
Thompson*,Rich,1166,KCR,AL,1,0,0,1,0.0,0.0
Thomson,John,1167,ATL,NL,76,0,4,0,0.197,0.409
Thornton*,Matt,1168,SEA,AL,0,0,0,0,,
Thurston*,Joe,1169,LAD,NL,18,0,1,0,0.176,0.52
Tiffee#,Terry,1170,MIN,AL,48,2,8,0,0.273,0.833
Timlin,Mike,1171,BOS,AL,0,0,0,0,,
Tomko,Brett,1172,SFG,NL,77,0,0,0,0.113,0.27
Tonis,Mike,1173,KCR,AL,7,0,0,0,0.0,0.143
Torcato*,Tony,1174,SFG,NL,12,0,2,0,0.556,1.139
Torrealba,Yorvit,1175,SFG,NL,196,6,23,2,0.227,0.709
Torres,Salomon,1177,PIT,NL,2,0,0,0,0.5,1.5
Torres#,Andres,1176,DET,AL,0,0,0,1,,
Towers,Josh,1178,TOR,AL,3,0,0,0,0.0,0.0
Trachsel,Steve,1179,NYM,NL,71,0,5,0,0.186,0.403
Tracy*,Andy,1180,COL,NL,17,0,1,0,0.188,0.485
Tracy*,Chad,1181,ARI,NL,532,8,53,2,0.285,0.75
Treanor,Matt,1182,FLA,NL,61,0,1,0,0.236,0.584
Tremie,Chris,1183,HOU,NL,0,0,0,0,,
Tsao,Chin-hui,1184,COL,NL,0,0,0,0,,
Tucker,T.J.,1186,MON,NL,12,0,0,0,0.083,0.167
Tucker*,Michael,1185,SFG,NL,547,13,62,5,0.256,0.765
Turnbow,Derrick,1187,ANA,AL,1,0,0,0,0.0,0.0
Upton,B.J.,1188,TBD,AL,177,4,12,4,0.258,0.733
Urbina,Ugueth,1189,DET,AL,0,0,0,0,,
Uribe,Juan,1190,CHW,AL,553,23,74,9,0.283,0.833
Utley*,Chase,1191,PHI,NL,287,13,57,4,0.266,0.776
Valdez,Ismael,1192,TOT,NL,59,0,5,0,0.192,0.501
Valdez,Merkin,1195,SFG,NL,0,0,0,0,,
Valdez,Wilson,1196,CHW,AL,46,1,4,1,0.233,0.592
Valent*,Eric,1197,NYM,NL,300,13,34,0,0.267,0.818
Valentin#,Javier,1198,CIN,NL,222,6,20,0,0.233,0.674
Valentin#,Jose,1199,CHW,AL,504,30,70,8,0.216,0.76
Valentine,Joe,1200,CIN,NL,1,0,0,0,0.0,0.0
Valverde,Jose,1201,ARI,NL,0,0,0,0,,
Vander Wal*,John,1204,CIN,NL,55,2,4,0,0.118,0.456
Van Benschoten,John,1202,PIT,NL,11,1,2,0,0.125,0.722
Van Poppel,Todd,1203,CIN,NL,23,0,1,0,0.176,0.399
Vargas,Claudio,1205,MON,NL,29,0,0,0,0.045,0.091
Varitek#,Jason,1206,BOS,AL,536,18,73,10,0.296,0.872
Vazquez,Javier,1207,NYY,AL,5,0,0,0,0.25,0.75
Venafro*,Mike,1209,LAD,NL,0,0,0,0,,
Ventura*,Robin,1210,LAD,NL,175,5,28,0,0.243,0.699
Vidro#,Jose,1211,MON,NL,467,14,60,3,0.294,0.821
Villafuerte,Brandon,1212,ARI,NL,1,0,0,0,0.0,0.0
Villarreal*,Oscar,1213,ARI,NL,0,0,0,0,,
Villone*,Ron,1214,SEA,AL,0,0,0,0,,
Vina*,Fernando,1215,DET,AL,131,0,7,2,0.226,0.577
Vizcaino,Luis,1217,MIL,NL,0,0,0,0,,
Vizcaino#,Jose,1216,HOU,NL,385,3,33,1,0.274,0.685
Vizquel#,Omar,1218,CLE,AL,651,7,59,19,0.291,0.741
Vogelsong,Ryan,1219,PIT,NL,44,0,3,0,0.226,0.555
Vázquez*,Ramón,1208,SDP,NL,132,1,13,1,0.235,0.619
Wagner,Ryan,1221,CIN,NL,0,0,0,0,,
Wagner*,Billy,1220,PHI,NL,2,0,0,0,0.0,0.0
Wakefield,Tim,1222,BOS,AL,2,0,0,0,0.0,0.0
Walker,Tyler,1229,SFG,NL,7,0,0,0,0.0,0.0
Walker*,Jamie,1223,DET,AL,0,0,0,0,,
Walker*,Kevin,1224,SFG,NL,0,0,0,0,,
Walker*,Larry,1225,TOT,NL,316,17,47,6,0.298,1.013
Walker*,Todd,1228,CHC,NL,424,15,50,0,0.274,0.82
Ward*,Daryle,1230,PIT,NL,321,15,57,0,0.249,0.78
Wasdin,John,1231,TEX,AL,3,0,0,0,0.0,0.0
Washburn*,Jarrod,1232,ANA,AL,7,0,1,0,0.4,0.8
Watkins,Steve,1233,SDP,NL,0,0,0,0,,
Wayne,Justin,1234,FLA,NL,4,0,0,0,0.0,0.0
Weathers,David,1235,TOT,NL,3,0,0,0,0.0,0.0
Weaver,Jeff,1239,LAD,NL,78,0,2,0,0.214,0.497
Webb,Brandon,1240,ARI,NL,71,0,4,0,0.094,0.228
Wellemeyer,Todd,1241,CHC,NL,0,0,0,0,,
Wells,Kip,1243,PIT,NL,50,0,0,0,0.186,0.541
Wells,Vernon,1244,TOR,AL,590,23,67,9,0.272,0.809
Wells*,David,1242,SDP,NL,69,0,3,0,0.105,0.269
Wendell#,Turk,1245,COL,NL,2,0,0,0,0.0,0.0
Weong Seo,Jae,1092,NYM,NL,38,0,1,1,0.156,0.416
Werth,Jayson,1246,LAD,NL,326,16,47,4,0.262,0.825
Westbrook,Jake,1247,CLE,AL,4,0,0,0,0.0,0.0
Wheeler,Dan,1248,TOT,NL,6,0,0,0,0.2,0.4
White,Rick,1254,CLE,AL,0,0,0,0,,
White,Rondell,1255,DET,AL,498,19,67,1,0.27,0.79
White*,Gabe,1251,TOT,MLB,0,0,0,0,,
Wigginton,Ty,1256,TOT,NL,545,17,66,7,0.261,0.757
Wilkerson*,Brad,1259,MON,NL,688,32,67,13,0.255,0.872
Williams,Gerald,1262,NYM,NL,138,4,11,2,0.233,0.696
Williams,Jerome,1263,SFG,NL,43,0,0,0,0.139,0.301
Williams,Woody,1264,STL,NL,70,0,2,0,0.18,0.446
Williams#,Bernie,1260,NYY,AL,651,22,70,1,0.262,0.795
Williams*,David,1261,PIT,NL,9,0,0,0,0.111,0.222
Williamson,Scott,1265,BOS,AL,0,0,0,0,,
Willingham,Josh,1266,FLA,NL,29,1,1,0,0.2,0.63
Willis*,Dontrelle,1267,FLA,NL,84,1,3,0,0.203,0.541
Wilson,Craig,1268,PIT,NL,644,29,82,2,0.264,0.853
Wilson,Dan,1269,SEA,AL,359,2,33,0,0.251,0.615
Wilson,Jack,1271,PIT,NL,693,11,59,8,0.308,0.794
Wilson,Paul,1272,CIN,NL,70,0,2,0,0.1,0.276
Wilson,Preston,1273,COL,NL,222,6,29,2,0.248,0.706
Wilson,Tom,1274,TOT,NL,13,0,0,0,0.167,0.397
Wilson,Vance,1277,NYM,NL,177,4,21,1,0.274,0.762
Wilson#,Enrique,1270,NYY,AL,262,6,31,1,0.213,0.579
Winn#,Randy,1278,SEA,AL,703,14,81,21,0.286,0.772
Wise,Matt,1280,MIL,NL,5,0,0,0,0.0,0.0
Wise*,Dewayne,1279,ATL,NL,175,6,17,6,0.228,0.716
Witasick,Jay,1281,SDP,NL,5,0,0,0,0.0,0.0
Wolf*,Randy,1282,PHI,NL,55,3,8,0,0.267,0.788
Womack*,Tony,1283,STL,NL,606,5,38,26,0.307,0.735
Wood,Kerry,1284,CHC,NL,53,1,3,0,0.133,0.389
Wood,Mike,1285,KCR,AL,2,0,0,0,0.0,0.0
Woodward,Chris,1286,TOR,AL,232,1,24,1,0.235,0.63
Wooten,Shawn,1287,PHI,NL,57,0,2,0,0.17,0.454
Worrell,Tim,1288,PHI,NL,0,0,0,0,,
Wright,David,1289,NYM,NL,283,14,40,6,0.293,0.857
Wright,Jamey,1290,COL,NL,27,0,0,0,0.053,0.158
Wright,Jaret,1291,ATL,NL,65,1,4,0,0.105,0.311
Wuertz,Michael,1292,CHC,NL,1,0,0,0,0.0,0.0
Yan,Esteban,1293,DET,AL,0,0,0,0,,
Yates,Tyler,1294,NYM,NL,12,0,0,0,0.091,0.182
Youkilis,Kevin,1295,BOS,AL,248,7,35,0,0.26,0.78
Young,Ernie,1298,CLE,AL,5,0,0,0,0.5,1.1
Young,Jason,1299,COL,NL,5,0,1,0,0.0,0.0
Young,Michael,1300,TEX,AL,739,22,99,12,0.313,0.836
Young#,Dmitri,1296,DET,AL,432,18,60,0,0.272,0.816
Young Sr.,Eric,1297,TEX,AL,402,1,27,14,0.288,0.758
Zambrano#,Carlos,1301,CHC,NL,82,1,5,0,0.229,0.542
Zambrano#,Victor,1302,TOT,MLB,12,0,1,0,0.182,0.455
Zaun#,Gregg,1305,TOR,AL,392,6,36,0,0.269,0.761
Zeile,Todd,1306,NYM,NL,396,9,35,0,0.233,0.675
Zinter#,Alan,1307,ARI,NL,40,1,6,0,0.206,0.653
Zito*,Barry,1308,OAK,AL,4,0,0,0,0.0,0.0
