,Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS,G,GS,Rtot,Pos
155,,,,,,,,,,,,134.0,132.0,6.0,OF
158,,,,,,,,,,,,138.0,136.0,0.0,SS
159,,,,,,,,,,,,147.0,142.0,13.0,OF-1B
160,Casey,Sean,189.0,CIN,NL,633.0,24.0,99.0,2.0,0.324,0.915,,,,
161,,,,,,,,,,,,133.0,131.0,1.0,OF
162,Castilla,Vinny,191.0,COL,NL,648.0,35.0,131.0,0.0,0.271,0.867,,,,
164,,,,,,,,,,,,124.0,124.0,-1.0,1B
165,Castillo,Luis,194.0,FLA,NL,649.0,2.0,47.0,21.0,0.291,0.72,,,,
168,,,,,,,,,,,,133.0,120.0,-5.0,C
171,,,,,,,,,,,,127.0,110.0,7.0,1B-3B-SS-OF
173,Chavez,Endy,203.0,MON,NL,547.0,5.0,34.0,32.0,0.277,0.688,146.0,142.0,-3.0,3B-OF-2B-SS
174,Chavez,Eric,204.0,OAK,AL,577.0,29.0,77.0,6.0,0.276,0.898,158.0,157.0,1.0,OF
178,,,,,,,,,,,,126.0,121.0,6.0,OF
181,Cintron,Alex,214.0,ARI,NL,613.0,4.0,49.0,3.0,0.262,0.665,,,,
182,,,,,,,,,,,,137.0,128.0,1.0,OF-3B-2B
185,,,,,,,,,,,,132.0,130.0,1.0,SS-2B
188,Clayton,Royce,221.0,COL,NL,652.0,8.0,54.0,10.0,0.279,0.735,,,,
193,,,,,,,,,,,,131.0,122.0,-5.0,OF
198,Conine,Jeff,231.0,FLA,NL,579.0,14.0,83.0,5.0,0.28,0.772,,,,
199,,,,,,,,,,,,159.0,158.0,-10.0,OF
214,Counsell,Craig,248.0,MIL,NL,551.0,2.0,23.0,17.0,0.241,0.645,,,,
215,Crawford,Carl,249.0,TBD,AL,672.0,11.0,55.0,59.0,0.296,0.781,,,,
216,Crede,Joe,250.0,CHW,AL,543.0,21.0,69.0,1.0,0.239,0.717,,,,
218,Crisp,Coco,252.0,CLE,AL,538.0,15.0,71.0,20.0,0.297,0.79,,,,
219,Crosby,Bobby,253.0,OAK,AL,623.0,22.0,64.0,7.0,0.239,0.744,,,,
222,,,,,,,,,,,,153.0,153.0,-8.0,1B-OF
223,,,,,,,,,,,,136.0,134.0,7.0,SS
225,Cruz,José,259.0,TBD,AL,636.0,21.0,78.0,11.0,0.242,0.766,,,,
227,,,,,,,,,,,,142.0,138.0,5.0,OF
230,,,,,,,,,,,,143.0,143.0,6.0,OF
233,,,,,,,,,,,,135.0,133.0,-17.0,SS
234,Damon,Johnny,267.0,BOS,AL,702.0,20.0,94.0,19.0,0.304,0.857,136.0,136.0,-5.0,OF
236,,,,,,,,,,,,145.0,143.0,-12.0,SS
247,Delgado,Carlos,284.0,TOR,AL,551.0,32.0,99.0,0.0,0.269,0.907,,,,
252,,,,,,,,,,,,148.0,143.0,-2.0,1B
255,,,,,,,,,,,,153.0,151.0,10.0,1B
260,,,,,,,,,,,,142.0,137.0,1.0,OF
265,,,,,,,,,,,,146.0,144.0,4.0,1B-3B
267,,,,,,,,,,,,153.0,148.0,-13.0,3B
269,Drew,J.D.,314.0,ATL,NL,645.0,31.0,93.0,12.0,0.305,1.006,,,,
275,,,,,,,,,,,,133.0,128.0,9.0,2B
276,Dunn,Adam,322.0,CIN,NL,681.0,46.0,102.0,6.0,0.266,0.956,123.0,123.0,0.0,3B-1B-OF
278,,,,,,,,,,,,126.0,124.0,-5.0,OF
280,,,,,,,,,,,,120.0,117.0,2.0,OF-1B
281,Dye,Jermaine,328.0,OAK,AL,590.0,23.0,80.0,4.0,0.265,0.793,140.0,123.0,-4.0,2B-SS-OF-3B
283,,,,,,,,,,,,159.0,156.0,11.0,SS
