Rk,Name,Tm,Lg,PA,HR,RBI,SB,BA,OPS,G,GS,Rtot,Pos Summary,rOBA,WAR,MVP
1,José Abreu,CHW,AL,262,19,60,0,0.317,0.987,2,0,,P,0.421,,1
2,Ronald Acuna Jr.,ATL,NL,202,14,29,8,0.25,0.987,4,0,,P,0.42,,0
3,Willy Adames,TBR,AL,205,8,23,2,0.259,0.813,54,54,3,1B,0.354,3,0
4,Austin Adams,SDP,NL,1,0,0,0,0,0,46,46,9,OF,0,2.3,0
5,Matt Adams*,ATL,NL,51,2,9,0,0.184,0.563,13,0,,P,0.257,,0
6,Jo Adell,LAA,AL,132,3,7,0,0.161,0.478,53,51,-5,SS,0.206,1.9,0
7,Ehire Adrianza#,MIN,AL,101,0,3,1,0.191,0.557,3,0,,P,0.259,0,0
8,Jesús Aguilar,MIA,NL,216,8,34,0,0.277,0.809,6,0,,P,0.35,,0
9,Nick Ahmed,ARI,NL,217,5,29,4,0.266,0.729,2,2,0,1B,0.329,-0.4,0
10,Shogo Akiyama*,CIN,NL,183,0,9,7,0.245,0.654,38,33,-7,OF,0.311,-1.5,0
11,Hanser Alberto,BAL,AL,231,3,22,3,0.283,0.698,37,24,1,3B-SS-2B-P,0.315,0.1,0
12,Ozzie Albies#,ATL,NL,124,6,19,3,0.271,0.773,31,31,-5,1B-3B,0.358,0.6,0
13,Sergio Alcántara#,DET,AL,23,1,1,0,0.143,0.598,57,56,4,SS,0.253,1.6,0
14,Jorge Alfaro,MIA,NL,100,3,16,2,0.226,0.624,8,6,,P,0.276,,0
15,Anthony Alford,TOT,MLB,29,2,7,3,0.214,0.741,52,47,0,OF,0.324,0.8,0
16,Anthony Alford,TOR,AL,16,1,3,3,0.188,0.563,53,52,0,2B-3B,0.268,0.6,0
17,Anthony Alford,PIT,NL,13,1,4,0,0.25,0.974,29,28,6,2B,0.393,0.7,0
18,Austin Allen*,OAK,AL,32,1,3,0,0.194,0.541,16,0,,P,0.234,,0
19,Greg Allen#,TOT,MLB,32,1,4,2,0.154,0.589,7,7,,P,0.283,,0
20,Greg Allen#,CLE,AL,28,1,4,1,0.16,0.534,10,7,-3,3B-2B,0.238,-0.3,0
21,Greg Allen#,SDP,NL,4,0,0,1,0,0.75,13,0,,P,0.594,,0
22,Abraham Almonte#,SDP,NL,13,0,0,1,0.091,0.322,14,2,,P,0.156,,0
23,Albert Almora,CHC,NL,34,0,1,0,0.167,0.465,29,26,-1,C-OF,0.223,-0.4,0
24,Pete Alonso,NYM,NL,239,16,35,1,0.231,0.817,13,10,-3,OF,0.342,-0.2,0
25,Dan Altavilla,TOT,MLB,0,0,0,0,,,11,8,,P,0.284,,0
26,Dan Altavilla,SEA,AL,0,0,0,0,,,14,9,0,C,0.258,-0.2,0
27,Jose Altuve,HOU,AL,210,5,18,2,0.219,0.629,15,7,1,OF,0.4,0.1,0
28,Eddy Alvarez*,MIA,NL,41,0,2,2,0.189,0.485,3,0,,P,0.357,,0
29,Yordan Alvarez*,HOU,AL,9,1,4,0,0.25,0.958,3,2,1,OF,0.382,-0.2,0
30,Brian Anderson,MIA,NL,229,11,38,0,0.255,0.81,24,0,,P,0.264,,0
31,Tim Anderson,CHW,AL,221,10,21,5,0.322,0.886,28,6,3,OF,0.287,-0.1,0
32,Elvis Andrus,TEX,AL,111,3,7,3,0.194,0.582,39,38,-5,1B,0.135,0.2,0
33,Miguel Andujar,NYY,AL,65,1,5,0,0.242,0.632,22,0,,P,0.308,0,0
34,Sherten Apostel,TEX,AL,21,0,0,0,0.1,0.293,48,48,0,2B,0.293,-0.2,0
35,Aristides Aquino,CIN,NL,56,2,8,1,0.17,0.623,9,0,,P,0.326,,0
36,Jonathan Araúz#,BOS,AL,80,1,9,0,0.25,0.644,12,10,0,2B-3B-SS,0.313,-0.2,0
37,Orlando Arcia,MIL,NL,189,5,20,2,0.26,0.734,8,0,,P,0.433,,0
38,Nolan Arenado,COL,NL,201,8,26,0,0.253,0.738,6,4,,P,0.344,0.1,0
39,Randy Arozarena,TBR,AL,76,7,11,4,0.281,1.022,10,10,,P,0.314,,0
40,Luis Arraez*,MIN,AL,121,0,13,0,0.321,0.765,58,56,5,3B-1B-2B,0.314,,0
41,Christian Arroyo,TOT,AL,54,3,8,0,0.24,0.736,10,7,,P,0.313,1.8,0
42,Christian Arroyo,CLE,AL,0,0,0,0,,,1,0,,P,0.305,,0
43,Christian Arroyo,BOS,AL,54,3,8,0,0.24,0.736,6,6,,P,0.359,,0
44,Willians Astudillo,MIN,AL,16,1,3,0,0.25,0.75,19,0,,P,0.278,,0
45,Alex Avila*,MIN,AL,62,1,2,0,0.184,0.641,18,0,,P,0.321,,0
46,Harrison Bader,STL,NL,125,4,11,3,0.226,0.779,49,49,-4,SS,0.298,,0
47,Javier Báez,CHC,NL,235,8,24,3,0.203,0.599,13,11,,P,0.174,2.3,0
48,Austin Barnes,LAD,NL,104,1,9,3,0.244,0.667,16,1,,P,0.099,,0
49,Tucker Barnhart*,CIN,NL,110,5,13,0,0.204,0.679,29,28,1,SS,0,,0
50,Jose Barrero,CIN,NL,68,0,2,1,0.194,0.4,13,12,-5,OF-3B,0.153,-0.4,0
51,Franklin Barreto,TOT,AL,28,0,2,1,0.074,0.181,13,4,,P,0.295,-0.4,0
52,Franklin Barreto,OAK,AL,10,0,0,0,0,0,7,6,-1,1B-3B,0.333,,0
53,Franklin Barreto,LAA,AL,18,0,2,1,0.118,0.284,18,12,-1,OF,0.277,-0.5,0
54,Joey Bart,SFG,NL,111,0,7,0,0.233,0.609,24,17,-4,2B-3B-SS,0.29,-0.1,0
55,Luis Alexander Basabe#,SFG,NL,18,0,1,2,0.143,0.476,58,52,-3,SS-OF-P,0.34,-0.2,0
56,Matt Beaty*,LAD,NL,54,2,5,0,0.22,0.638,48,48,9,3B,0.429,0.3,0
57,Cam Bedrosian,LAA,AL,0,0,0,0,,,14,0,,P,0.314,1.5,0
58,Josh Bell#,PIT,NL,223,8,22,0,0.226,0.669,17,13,0,OF,0.239,,0
59,Cody Bellinger*,LAD,NL,243,12,30,6,0.239,0.789,31,31,2,2B,0.356,0.9,0
60,Brandon Belt*,SFG,NL,179,9,30,0,0.309,1.015,9,9,,P,0.417,0.9,0
61,Anthony Bemboom*,LAA,AL,60,3,5,0,0.208,0.744,15,14,-1,2B-SS-3B,0.371,,0
62,Andrew Benintendi*,BOS,AL,52,0,1,1,0.103,0.442,6,4,-1,C,0.37,0.2,0
63,Jon Berti,MIA,NL,149,2,14,9,0.258,0.738,22,19,1,C,0.255,0,0
64,Mookie Betts,LAD,NL,246,16,39,10,0.292,0.927,10,0,,P,0.351,0.5,0
65,Bo Bichette,TOR,AL,128,5,23,4,0.301,0.84,11,0,,P,0.491,,0
66,Cavan Biggio*,TOR,AL,265,8,28,6,0.25,0.807,49,36,2,OF,0.374,,0
67,Braden Bishop,SEA,AL,34,0,4,1,0.167,0.476,57,56,7,SS-OF,0.385,1,0
68,Charlie Blackmon*,COL,NL,247,6,42,2,0.303,0.804,3,1,,P,-0.171,0.8,0
69,Travis Blankenhorn*,MIN,AL,4,0,0,0,0.333,1.167,18,0,,P,0.266,,0
70,Xander Bogaerts,BOS,AL,225,11,28,8,0.3,0.867,5,0,,P,0.312,,0
71,Alec Bohm,PHI,NL,180,4,23,1,0.338,0.881,2,2,,P,0.363,,0
72,Emilio Bonifácio#,WSN,NL,3,0,0,0,0,0,4,0,,P,0.373,,0
73,Jorge Bonifacio,DET,AL,94,2,17,0,0.221,0.602,24,1,,P,0,,0
74,David Bote,CHC,NL,145,7,29,2,0.2,0.711,23,0,,P,0.33,,0
75,Jackie Bradley Jr.*,BOS,AL,217,7,22,5,0.283,0.814,6,0,,P,0.344,,0
76,Michael Brantley*,HOU,AL,187,5,22,2,0.3,0.84,32,0,,P,0.266,,0
77,Rob Brantly*,SFG,NL,3,0,0,0,0,0,28,27,2,C,0.28,,0
78,Ryan Brasier,BOS,AL,0,0,0,0,,,18,0,,P,0.407,0.7,0
79,Ryan Braun,MIL,NL,141,8,26,1,0.233,0.769,24,0,,P,0,,0
80,Alex Bregman,HOU,AL,180,6,22,0,0.242,0.801,38,33,3,C-1B,0.315,,0
81,José Briceño,LAA,AL,6,0,0,0,0.2,0.533,21,19,-1,SS,0.311,0.8,0
82,Lewis Brinson,MIA,NL,112,3,12,4,0.226,0.636,13,6,1,2B-SS-3B-OF,0.197,-0.7,0
83,Mike Brosseau,TBR,AL,98,5,12,2,0.302,0.936,2,0,,P,0.348,-0.5,0
84,Seth Brown*,OAK,AL,5,0,0,0,0,0,7,5,,P,0.32,,0
85,Jay Bruce*,PHI,NL,103,6,14,0,0.198,0.721,32,27,-1,C,0.325,,0
86,Kris Bryant,CHC,NL,147,4,11,0,0.206,0.644,8,4,1,OF,0.357,0.3,0
87,Drew Butera,COL,NL,43,0,4,0,0.154,0.396,8,0,,P,0.369,0.1,0
88,Byron Buxton,MIN,AL,135,13,27,2,0.254,0.844,26,0,,P,0.217,,0
89,Asdrúbal Cabrera#,WSN,NL,213,8,31,0,0.242,0.753,11,11,,P,0.27,,0
90,Miguel Cabrera,DET,AL,231,10,35,1,0.25,0.746,11,11,,P,0.23,,0
91,Lorenzo Cain,MIL,NL,21,0,2,0,0.333,0.817,1,0,,P,0.673,,0
92,Kole Calhoun*,ARI,NL,228,16,40,1,0.226,0.864,14,9,-1,1B-OF,0.376,,0
93,Willie Calhoun*,TEX,AL,108,1,13,0,0.19,0.491,4,0,,P,0.363,-0.5,0
94,Johan Camargo#,ATL,NL,127,4,9,0,0.2,0.611,11,0,,P,0.387,,0
95,Daz Cameron,DET,AL,59,0,3,1,0.193,0.483,12,0,,P,0.295,0,0
96,Luis Campusano,SDP,NL,4,1,1,0,0.333,1.833,35,34,-2,1B,0.262,,0
97,Jeimer Candelario#,DET,AL,206,7,29,1,0.297,0.872,54,54,9,OF-1B,0.294,-0.5,0
98,Mark Canha,OAK,AL,243,5,33,4,0.246,0.795,47,41,1,1B,0.376,1.5,0
99,Robinson Canó*,NYM,NL,182,10,30,0,0.316,0.896,20,16,2,C-P,0.331,2,0
100,Victor Caratini#,CHC,NL,132,1,16,0,0.241,0.661,13,12,1,OF,0.37,0.4,0
101,Dylan Carlson#,STL,NL,119,3,16,1,0.2,0.616,8,1,,P,0.294,-0.1,0
102,Matt Carpenter*,STL,NL,169,4,24,0,0.186,0.64,8,0,,P,0.314,,0
103,Curt Casali,CIN,NL,93,6,8,2,0.224,0.866,12,12,,P,0.253,,0
104,Nick Castellanos,CIN,NL,242,14,34,0,0.225,0.784,39,35,0,2B-OF-3B-SS,0.335,,0
105,Harold Castro*,DET,AL,54,0,3,0,0.347,0.836,15,0,,P,0.389,0.9,0
106,Jason Castro*,TOT,MLB,92,2,9,0,0.188,0.668,53,51,14,OF-2B,0.291,,0
107,Jason Castro*,LAA,AL,62,2,6,0,0.192,0.707,4,0,,P,0.401,3.6,0
108,Jason Castro*,SDP,NL,30,0,3,0,0.179,0.59,26,26,2,SS,0.294,,0
