Rk,Name,Tm,Lg,PA,HR,RBI,SB,BA,OPS,G,GS,Rtot,Pos Summary,rOBA,WAR,MVP
109,Starlin Castro,WSN,NL,63,2,4,0,0.267,0.752,1,0,,P,0.238,1.1,0
110,Willi Castro#,DET,AL,140,6,24,0,0.349,0.932,1,0,,P,0.335,,0
111,Jake Cave*,MIN,AL,123,4,15,0,0.221,0.674,12,12,,P,0.282,,0
112,Francisco Cervelli,MIA,NL,62,3,7,1,0.245,0.808,12,6,,P,0.216,,0
113,Yoenis Céspedes,NYM,NL,34,2,4,0,0.161,0.622,57,56,2,2B-OF-3B,0.185,,0
114,Yu Chang,CLE,AL,13,0,1,0,0.182,0.49,12,9,-2,OF,0.262,2,0
115,Matt Chapman,OAK,AL,152,10,25,0,0.232,0.812,3,0,,P,0.255,0.1,0
116,Michael Chavis,BOS,AL,158,5,19,3,0.212,0.636,1,1,,P,0.317,,0
117,Robinson Chirinos,TOT,MLB,82,1,7,0,0.162,0.475,50,50,-1,OF,0.321,,0
118,Robinson Chirinos,TEX,AL,49,0,2,0,0.119,0.367,1,1,-2,2B,0.146,0.9,0
119,Robinson Chirinos,NYM,NL,33,1,5,0,0.219,0.617,21,0,,P,0.162,-0.1,0
120,Jazz Chisholm Jr.*,MIA,NL,62,2,6,2,0.161,0.563,2,0,,P,0.41,,0
121,Ji Man Choi*,TBR,AL,145,3,16,0,0.23,0.741,53,52,-7,SS,0.393,,0
122,Shin-Soo Choo*,TEX,AL,127,5,15,6,0.236,0.723,43,43,-1,3B-1B,0.337,1.6,0
123,Zack Collins*,CHW,AL,18,0,0,0,0.063,0.292,2,2,,P,0.373,0.8,0
124,Christian Colón,CIN,NL,24,0,2,1,0.13,0.341,1,1,0,OF,0.142,,0
125,Michael Conforto*,NYM,NL,233,9,31,3,0.322,0.927,29,22,-3,OF,0.316,-0.1,0
126,William Contreras,ATL,NL,10,0,1,0,0.4,0.9,21,0,,P,0.324,-0.4,0
127,Willson Contreras,CHC,NL,225,7,26,1,0.243,0.763,41,32,0,3B-2B-1B,0,,0
128,Garrett Cooper,MIA,NL,133,6,20,0,0.283,0.853,6,0,,P,0.335,-0.1,0
129,Ryan Cordell,NYM,NL,8,0,0,1,0.125,0.25,23,0,,P,0.31,,0
130,Franchy Cordero*,KCR,AL,42,2,7,1,0.211,0.733,12,12,,P,0.374,,0
131,Carlos Correa,HOU,AL,221,5,25,0,0.264,0.709,14,0,,P,0.109,,0
132,Will Craig,PIT,NL,4,0,0,0,0,0,1,0,,P,0.367,,0
133,Brandon Crawford*,SFG,NL,193,8,28,1,0.256,0.792,16,0,,P,0.416,,0
134,J.P. Crawford*,SEA,AL,232,2,24,6,0.255,0.674,55,54,-5,OF,0.176,,0
135,C.J. Cron,DET,AL,52,4,8,0,0.19,0.894,19,19,5,OF,0,2,0
136,Kevin Cron,ARI,NL,20,0,0,0,0,0.15,1,1,0,C,0.394,1.6,0
137,Jake Cronenworth*,SDP,NL,192,4,20,3,0.285,0.831,25,1,,P,0.221,-0.1,0
138,Nelson Cruz,MIN,AL,214,16,33,0,0.303,0.992,11,10,,P,0.4,0,0
139,Charlie Culberson,ATL,NL,7,0,1,0,0.143,0.429,20,19,1,OF-1B,0.269,,0
140,Cheslor Cuthbert,CHW,AL,1,0,0,0,0,0,3,1,,P,0.153,0.1,0
141,Travis d'Arnaud,ATL,NL,184,9,34,1,0.321,0.919,42,41,0,3B,0.342,,0
142,David Dahl*,COL,NL,99,0,9,1,0.183,0.47,5,0,,P,0.238,1.1,0
143,Bobby Dalbec,BOS,AL,92,8,16,0,0.263,0.959,11,4,,P,0.358,,0
144,Matt Davidson,CIN,NL,47,3,11,0,0.163,0.629,21,1,,P,0.284,,0
145,Austin Davis*,TOT,NL,0,0,0,0,,,2,2,-1,C,0.478,,0
146,Austin Davis*,PHI,NL,0,0,0,0,,,1,0,,P,0.299,0,0
147,Chris Davis*,BAL,AL,55,0,1,0,0.115,0.337,46,28,-6,OF,0.186,,0
148,J.D. Davis,NYM,NL,229,6,19,0,0.247,0.761,20,0,,P,0.232,0.1,0
149,Jaylin Davis,SFG,NL,12,1,1,0,0.167,0.583,9,0,,P,0.274,,0
150,Jonathan Davis,TOR,AL,34,1,6,1,0.259,0.808,34,23,4,3B-1B-2B-OF-P,0.34,,0
151,Khris Davis,OAK,AL,99,2,10,0,0.2,0.632,3,0,,P,0.308,1.4,0
152,Austin Dean,STL,NL,7,0,0,0,0.25,1.071,3,0,0,1B,0.295,,0
153,Paul DeJong,STL,NL,174,3,25,1,0.25,0.671,11,9,,P,0.164,-0.1,0
154,Nicky Delmonico*,CHW,AL,22,0,3,0,0.15,0.377,19,16,1,OF-1B,0.182,,0
155,Travis Demeritte,DET,AL,33,0,4,0,0.172,0.48,32,32,3,3B-OF-1B,0.377,0.2,0
156,Delino DeShields,CLE,AL,120,0,7,3,0.252,0.628,10,10,,P,0.399,0.5,0
157,Rafael Devers*,BOS,AL,248,11,43,0,0.263,0.793,10,0,,P,0.321,,0
158,Aledmys Díaz,HOU,AL,59,3,6,0,0.241,0.737,8,8,,P,0.359,,0
159,Elias Díaz,COL,NL,73,2,9,0,0.235,0.641,9,9,,P,0.167,,0
160,Isan Díaz*,MIA,NL,22,0,1,0,0.182,0.364,9,0,,P,0.138,,0
161,Lewin Díaz*,MIA,NL,41,0,3,0,0.154,0.4,11,11,,P,0.359,,0
162,Yandy Díaz,TBR,AL,138,2,11,0,0.307,0.814,3,0,,P,0.157,,0
163,Alex Dickerson*,SFG,NL,170,10,27,0,0.298,0.947,8,0,,P,0.341,,0
164,Corey Dickerson*,MIA,NL,210,7,17,1,0.258,0.713,12,9,,P,0.162,,0
165,Derek Dietrich*,TEX,AL,75,5,8,1,0.197,0.806,5,0,,P,0.311,,0
166,Wilmer Difo#,WSN,NL,18,0,1,0,0.071,0.294,29,12,0,C-1B-P,0.212,,0
167,Brandon Dixon,DET,AL,14,0,2,0,0.077,0.297,27,0,,P,0.358,-0.2,0
168,Josh Donaldson,MIN,AL,102,6,11,0,0.222,0.842,39,35,8,OF,0.214,,0
169,Brian Dozier,NYM,NL,16,0,0,0,0.133,0.321,41,40,4,1B-3B,0.196,2.1,0
170,Hunter Dozier,KCR,AL,186,6,12,4,0.228,0.736,19,0,,P,0.317,0.2,0
171,Brandon Drury,TOR,AL,49,0,1,0,0.152,0.358,11,6,,P,0.296,,0
172,Mauricio Dubón,SFG,NL,177,4,19,2,0.274,0.726,5,5,0,OF,0.302,0.1,0
173,Steven Duggar*,SFG,NL,36,0,3,1,0.176,0.458,48,48,0,OF,0.291,,0
174,Adam Duvall,ATL,NL,209,16,33,0,0.237,0.833,8,6,-1,OF,0.366,0.2,0
175,Jarrod Dyson*,TOT,MLB,66,0,5,6,0.18,0.411,31,31,3,2B-3B,0.252,1.4,0
176,Jarrod Dyson*,PIT,NL,55,0,5,4,0.157,0.375,16,16,0,OF,0.205,-1,0
177,Jarrod Dyson*,CHW,AL,11,0,0,2,0.3,0.6,51,51,4,1B-3B,0.293,0.1,0
178,Adam Eaton*,WSN,NL,176,4,17,3,0.226,0.669,38,38,2,OF-1B,0.258,-0.6,0
179,Tommy Edman#,STL,NL,227,5,26,2,0.25,0.685,11,11,,P,0.301,0.1,0
180,Seth Elledge,STL,NL,0,0,0,0,,,34,33,2,2B,0.236,2,0
181,Edwin Encarnación,CHW,AL,181,10,19,0,0.157,0.627,25,21,1,C-1B,0.395,1.6,0
182,Adam Engel,CHW,AL,93,3,12,1,0.295,0.811,34,32,3,OF,0.307,,0
183,Phil Ervin,TOT,MLB,89,0,4,1,0.149,0.481,34,33,4,3B-1B,0.333,1.1,0
184,Phil Ervin,CIN,NL,42,0,0,1,0.086,0.324,12,12,,P,0.352,-0.2,0
185,Phil Ervin,SEA,AL,47,0,4,0,0.205,0.622,3,0,,P,0.352,0.1,0
186,Eduardo Escobar#,ARI,NL,222,4,20,1,0.212,0.605,29,25,-2,C,0.299,0.2,0
187,Santiago Espinal,TOR,AL,66,0,6,1,0.267,0.641,7,6,,P,0.304,,0
188,Thairo Estrada,NYY,AL,52,1,3,1,0.167,0.46,10,9,,P,0.243,,0
189,Phillip Evans,PIT,NL,45,1,9,0,0.359,0.932,8,0,,P,0.203,0.5,0
190,Kyle Farmer,CIN,NL,70,0,4,1,0.266,0.641,57,57,-1,OF,0.309,,0
191,Derek Fisher*,TOR,AL,39,1,7,0,0.226,0.811,22,0,,P,0.227,,0
192,David Fletcher,LAA,AL,230,3,18,2,0.319,0.801,12,12,,P,0.361,,0
193,Wilmer Flores,SFG,NL,213,12,32,1,0.268,0.83,1,0,,P,0.376,0,0
194,Estevan Florial*,NYY,AL,3,0,0,0,0.333,0.667,18,11,0,OF-3B-SS-1B-2B,0.352,,0
195,Tyler Flowers,ATL,NL,80,1,5,0,0.217,0.673,26,25,-1,C,0.338,,0
196,Mike Ford*,NYY,AL,84,2,11,0,0.135,0.496,26,0,,P,0.289,,0
197,Logan Forsythe,MIA,NL,38,1,2,0,0.118,0.446,16,16,0,2B,0.408,0.3,0
198,Matt Foster,CHW,AL,0,0,0,0,,,35,35,-10,SS-3B-2B,0.303,-0.2,0
199,Dexter Fowler#,STL,NL,101,4,15,1,0.233,0.706,38,29,4,OF,0.314,,0
200,Jake Fraley*,SEA,AL,29,0,0,2,0.154,0.511,12,12,,P,0.275,0.5,0
201,Ty France,TOT,MLB,155,4,23,0,0.305,0.836,5,0,,P,0.466,0.4,0
202,Ty France,SDP,NL,61,2,10,0,0.309,0.868,16,16,0,C,0.275,0.3,0
203,Ty France,SEA,AL,94,2,13,0,0.302,0.815,16,0,,P,0.335,,0
204,Maikel Franco,KCR,AL,243,8,38,1,0.278,0.778,2,0,,P,0.346,,0
205,Adam Frazier*,PIT,NL,230,7,23,1,0.23,0.661,15,0,,P,0.302,0.8,0
206,Clint Frazier,NYY,AL,160,8,26,3,0.267,0.905,8,3,1,2B-3B-SS,0.309,-0.1,0
207,Todd Frazier,TOT,MLB,172,4,12,1,0.236,0.684,13,0,,P,0.307,,0
208,Todd Frazier,TEX,AL,121,2,7,1,0.241,0.702,37,36,-1,3B-SS,0.1,,0
209,Todd Frazier,NYM,NL,51,2,5,0,0.224,0.643,5,5,,P,0.295,,0
210,Freddie Freeman*,ATL,NL,262,13,53,2,0.341,1.102,18,0,,P,0.247,0.1,1
211,Mike Freeman*,CLE,AL,43,0,3,0,0.237,0.618,41,39,-1,1B-OF-2B,0.34,,0
212,Joshua Fuentes,COL,NL,103,2,17,1,0.306,0.759,25,22,-1,C,0.296,1.2,0
213,Cam Gallagher,KCR,AL,60,1,3,0,0.283,0.79,3,3,,P,0.331,,0
214,Joey Gallo*,TEX,AL,226,10,26,2,0.181,0.679,20,17,0,2B-SS,0.203,,0
215,Freddy Galvis#,CIN,NL,159,7,16,1,0.22,0.712,38,31,1,1B,0.255,-0.7,0
216,Ben Gamel*,MIL,NL,127,3,10,0,0.237,0.718,19,17,1,OF,0.242,-0.7,0
217,Adolis García,TEX,AL,7,0,0,0,0,0.143,14,0,,P,0.332,,0
218,Avisaíl García,MIL,NL,207,2,15,1,0.238,0.659,22,0,,P,0.07,-0.1,0
219,Greg Garcia*,SDP,NL,71,0,11,1,0.2,0.529,29,0,,P,0.387,0.3,0
220,Leury Garcia#,CHW,AL,63,3,8,0,0.271,0.758,12,12,,P,0.351,0.1,0
221,Luis García*,WSN,NL,139,2,16,1,0.276,0.668,12,5,,P,0.259,,0
222,Brett Gardner*,NYY,AL,158,5,15,3,0.223,0.747,20,0,,P,0.364,,0
223,Kyle Garlick,PHI,NL,23,0,3,0,0.136,0.356,1,0,,P,0.274,,0
224,Dustin Garneau,HOU,AL,46,1,4,0,0.158,0.562,8,8,,P,0.268,,0
225,Mitch Garver,MIN,AL,81,2,5,0,0.167,0.511,26,2,,P,0.317,,0
226,Andrés Giménez*,NYM,NL,132,3,12,8,0.263,0.732,10,10,,P,0.337,,0
227,Ryan Goins*,CHW,AL,10,0,0,0,0,0.1,8,5,,P,0.277,,0
228,Paul Goldschmidt,STL,NL,231,6,21,1,0.304,0.883,24,0,,P,0.288,,0
229,Yan Gomes,WSN,NL,119,4,13,1,0.284,0.787,12,12,,P,0.322,,0
230,Tony Gonsolin,LAD,NL,0,0,0,0,,,1,0,,P,0.34,,0
231,Erik González,PIT,NL,193,3,20,2,0.227,0.614,3,1,0,C-1B,0.345,,0
232,Luis González*,CHW,AL,2,0,0,0,0,0.5,21,0,,P,0.22,,0
233,Marwin Gonzalez#,MIN,AL,199,5,22,0,0.211,0.606,8,4,0,2B-1B,0.338,,0
234,Niko Goodrum#,DET,AL,179,5,20,7,0.184,0.598,52,52,2,OF,0.359,,0
235,Brian Goodwin*,TOT,MLB,164,6,22,5,0.215,0.715,4,2,-1,C,0.368,-0.2,0
236,Brian Goodwin*,LAA,AL,109,4,17,1,0.242,0.793,41,39,3,C,0.399,,0
237,Brian Goodwin*,CIN,NL,55,2,5,4,0.163,0.563,18,0,,P,0.351,-0.4,0
238,Alex Gordon*,KCR,AL,184,4,11,0,0.209,0.606,15,15,-3,1B,0.39,2.1,0
239,Terrance Gore,LAD,NL,0,0,0,0,,,11,11,,P,0.389,0.1,0
240,Phil Gosselin,PHI,NL,102,3,12,0,0.25,0.726,5,2,0,OF,0.287,1,0
241,Yasmani Grandal#,CHW,AL,194,8,27,0,0.23,0.773,12,8,-2,OF,0.25,,0
242,Chad Green*,NYY,AL,0,0,0,0,,,30,0,,P,0.347,0.5,0
243,Didi Gregorius*,PHI,NL,237,10,40,3,0.284,0.827,57,56,3,SS,0.365,,0
244,Grayson Greiner,DET,AL,55,3,8,0,0.118,0.515,5,1,,P,0.226,-0.1,0
245,Randal Grichuk,TOR,AL,231,12,35,1,0.273,0.793,2,0,,P,0.347,0,0
246,Trent Grisham*,SDP,NL,252,10,26,10,0.251,0.808,8,0,,P,0.184,,0
247,Robbie Grossman#,OAK,AL,192,8,23,8,0.241,0.826,2,1,0,1B,0.075,1.7,0
248,Deivy Grullón,BOS,AL,4,0,1,0,0.333,0.833,53,47,4,SS,0.423,,0
249,Vladimir Guerrero Jr.,TOR,AL,243,9,33,1,0.262,0.791,53,53,7,SS,0.292,,0
250,Luis Guillorme*,NYM,NL,68,0,9,2,0.333,0.865,26,0,,P,0.371,,0
251,Lourdes Gurriel Jr.,TOR,AL,224,11,33,3,0.308,0.882,7,0,,P,0.408,-0.1,0
252,Yuli Gurriel,HOU,AL,230,6,22,0,0.232,0.658,6,0,,P,0.329,1.3,0
253,Kelvin Gutiérrez,KCR,AL,12,0,0,0,0.111,0.444,5,0,,P,0.246,1.6,0
254,Ronald Guzmán*,TEX,AL,86,4,9,1,0.244,0.75,13,13,1,1B,0.326,,0
255,Jedd Gyorko,MIL,NL,135,9,17,0,0.248,0.838,1,0,0,1B,0.467,,0
256,Eric Haase,DET,AL,19,0,2,0,0.176,0.387,54,49,3,2B-1B-SS-3B,0.332,,0
257,Josh Hader*,MIL,NL,0,0,0,0,,,3,3,,P,0.115,,0
258,Sam Haggerty#,SEA,AL,54,1,6,4,0.26,0.715,1,0,,P,0.232,0.3,0
259,Billy Hamilton,TOT,NL,36,1,2,6,0.125,0.39,12,12,,P,0.285,-0.4,0
260,Billy Hamilton,NYM,NL,25,0,1,3,0.045,0.129,6,1,0,1B-2B-P,0.23,1.6,0
261,Billy Hamilton,CHC,NL,11,1,1,3,0.3,0.964,17,3,,P,0.258,,0
262,Garrett Hampson,COL,NL,184,5,11,6,0.234,0.671,1,0,0,3B,0.075,,0
263,Ian Happ#,CHC,NL,231,12,28,1,0.258,0.866,35,33,-4,C,0.224,1.9,0
264,Bryce Harper*,PHI,NL,244,13,33,8,0.268,0.962,22,21,-2,OF,0.209,,0
265,Josh Harrison,WSN,NL,91,3,14,1,0.278,0.769,22,22,2,1B-3B,0.249,-0.1,0
266,Monte Harrison,MIA,NL,51,1,3,6,0.17,0.491,12,12,,P,0.299,,0
267,Adam Haseley*,PHI,NL,92,0,13,0,0.278,0.69,5,2,-1,1B-P,0.241,0,0
268,Ke'Bryan Hayes,PIT,NL,95,5,11,1,0.376,1.124,1,1,,P,0.357,0.8,0
269,Austin Hays,BAL,AL,134,4,9,2,0.279,0.722,12,12,,P,0.264,-1,0
270,Ryon Healy,MIL,NL,7,0,0,0,0.143,0.286,9,0,,P,0.337,0.6,0
271,Nick Heath*,KCR,AL,18,0,3,2,0.154,0.543,15,13,0,1B,0.299,,0
272,Adeiny Hechavarría,ATL,NL,63,0,2,0,0.254,0.607,42,40,-8,3B-OF,0.449,-0.3,0
273,Austin Hedges,TOT,MLB,83,3,6,1,0.145,0.521,4,4,-1,OF,0.397,,0
