Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS,rOBA,WAR,G,GS,Rtot,Pos,MVP,WinPercentage
Bryant,Kris,207,CHC,NL,634,31,77,4,0.282,0.903,0.389,4.4,142,142,2,3B-OF-1B,0,0.333
Báez,Javier,91,CHC,NL,561,29,85,11,0.281,0.847,0.351,6.6,130,129,12,SS-3B,0,0.333
Cabrera,Asdrúbal,218,TOT,MLB,514,18,91,4,0.26,0.783,0.342,0.7,127,122,-1,3B-2B-1B,0,0
Cain,Lorenzo,225,MIL,NL,623,11,48,18,0.26,0.697,0.313,2.6,143,133,-2,OF,0,0.519
Calhoun,Kole,226,LAA,AL,632,33,74,4,0.232,0.792,0.339,1.6,150,146,3,OF,0,0.562
Castellanos,Nick,243,TOT,MLB,664,27,73,2,0.289,0.863,0.369,2.8,140,140,-9,OF,0,0
Castro,Starlin,254,MIA,NL,676,22,86,2,0.27,0.736,0.31,1.1,161,159,7,2B-3B-SS,0,0.426
Chapman,Matt,268,OAK,AL,670,36,91,1,0.249,0.848,0.361,7.8,156,152,13,3B,0,0.599
Conforto,Michael,293,NYM,NL,648,33,92,7,0.257,0.856,0.365,3.6,149,143,-7,OF,0,0.444
Crawford,Brandon,310,SFG,NL,560,11,59,3,0.228,0.654,0.289,-0.5,142,137,-10,SS,0,0.623
DeJong,Paul,347,STL,NL,664,30,78,9,0.233,0.762,0.331,5.3,157,156,13,SS,0,0.531
Devers,Rafael,356,BOS,AL,702,32,115,8,0.311,0.916,0.385,5.4,152,151,-9,3B-SS,0,0.42
Donaldson,Josh,379,ATL,NL,659,37,94,4,0.259,0.9,0.388,5.4,148,148,2,3B,0,0.599
Dozier,Hunter,383,KCR,AL,586,26,84,2,0.279,0.87,0.362,2.8,124,123,-4,3B-OF-1B,0,0.432
Eaton,Adam,405,WSN,NL,656,15,49,15,0.279,0.792,0.347,1.8,145,143,3,OF,0,0.66
Escobar,Eduardo,423,ARI,NL,699,35,118,5,0.269,0.831,0.352,3.3,155,153,6,3B-2B,0,0.5
Fletcher,David,448,LAA,AL,653,6,49,8,0.29,0.734,0.326,3.8,154,145,12,3B-SS-2B-OF,0,0.562
Fowler,Dexter,462,STL,NL,574,19,67,8,0.238,0.754,0.333,1.4,140,132,-6,OF,0,0.531
Frazier,Adam,467,PIT,NL,608,10,50,5,0.278,0.753,0.328,2.5,142,133,8,2B,0,0.475
Freeman,Freddie,471,ATL,NL,692,38,121,6,0.295,0.938,0.392,3.7,158,157,-1,1B,0,0.599
Galvis,Freddy,491,TOT,MLB,589,23,70,4,0.26,0.734,0.316,3.1,139,133,9,SS-2B,0,0
Garcia,Leury,501,CHW,AL,618,8,40,15,0.279,0.688,0.311,1.3,138,134,-10,OF-SS-2B-3B,0,0.444
Gardner,Brett,506,NYY,AL,550,28,74,10,0.251,0.829,0.352,4.3,140,131,-3,OF,0,0.636
Goldschmidt,Paul,535,STL,NL,682,34,97,3,0.26,0.821,0.357,2.6,159,155,6,1B,0,0.531
Gordon,Alex,550,KCR,AL,633,13,76,5,0.266,0.741,0.323,0.9,146,145,8,OF-P,0,0.432
Grandal,Yasmani,555,MIL,NL,632,28,77,5,0.246,0.848,0.37,2.4,149,140,2,C-1B,0,0.519
Grichuk,Randal,571,TOR,AL,628,31,80,2,0.232,0.738,0.312,0.7,140,139,8,OF,0,0.438
Gurriel,Yuli,588,HOU,AL,612,31,104,5,0.298,0.884,0.37,3.9,143,142,6,1B-3B-2B,0,0.292
Harper,Bryce,611,PHI,NL,682,35,114,15,0.26,0.882,0.373,4.4,152,152,6,OF,0,0.481
Hernández,César,639,PHI,NL,667,14,71,9,0.279,0.741,0.325,1.9,157,155,-6,2B,0,0.481
Heyward,Jason,653,CHC,NL,589,21,62,8,0.251,0.772,0.338,2.4,144,137,4,OF,0,0.333
Hoskins,Rhys,674,PHI,NL,705,29,85,2,0.226,0.819,0.353,2,158,157,-1,1B,0,0.481
Hosmer,Eric,675,SDP,NL,667,22,99,0,0.265,0.735,0.314,-0.5,157,155,3,1B,0,0.463
Iglesias,José,691,CIN,NL,530,11,59,6,0.288,0.724,0.309,1,144,136,9,SS,0,0.654
Jones,Adam,717,ARI,NL,528,16,67,2,0.26,0.728,0.319,-0.8,130,118,-6,OF,0,0.5
Kepler,Max,746,MIN,AL,596,36,90,1,0.252,0.855,0.358,4,130,125,10,OF,0,0.364
Kingery,Scott,754,PHI,NL,500,19,55,15,0.258,0.788,0.338,2.5,120,115,1,OF-3B-SS-2B,0,0.481
LeMahieu,DJ,790,NYY,AL,655,26,102,5,0.327,0.893,0.382,5.6,144,141,11,2B-3B-1B,0,0.636
Lindor,Francisco,797,CLE,AL,654,32,74,22,0.284,0.854,0.356,4.8,137,137,5,SS,0,0.414
Machado,Manny,832,SDP,NL,661,32,85,5,0.256,0.796,0.341,2.6,154,154,-9,3B-SS,0,0.463
Mancini,Trey,844,BAL,AL,679,35,97,1,0.291,0.899,0.379,3.7,134,134,1,OF-1B,0,0.593
Marte,Starling,856,PIT,NL,586,23,82,25,0.295,0.845,0.364,2.9,142,139,5,OF-2B-SS,0,0.475
Marte,Ketel,855,ARI,NL,628,32,92,10,0.329,0.981,0.413,6.9,130,128,5,OF,0,0.5
McMahon,Ryan,898,COL,NL,539,24,83,5,0.25,0.779,0.337,1.7,135,122,3,2B-1B-3B,0,0.352
McNeil,Jeff,899,NYM,NL,567,23,75,5,0.318,0.916,0.389,5.1,130,123,-5,OF-2B-3B,0,0.444
Merrifield,Whit,922,KCR,AL,735,16,74,20,0.302,0.811,0.349,3.6,154,153,-1,2B-OF-1B,0,0.432
Moncada,Yoán,938,CHW,AL,559,25,79,10,0.315,0.915,0.386,5.2,129,128,9,3B,0,0.444
Moran,Colin,950,PIT,NL,503,13,80,0,0.277,0.751,0.321,-1,133,118,-21,3B-2B-1B-OF,0,0.475
Moustakas,Mike,960,MIL,NL,584,35,87,3,0.254,0.845,0.361,2.6,139,133,2,3B-2B,0,0.519
Muncy,Max,962,LAD,NL,589,35,98,4,0.251,0.889,0.387,5.3,139,130,16,2B-1B-3B,0,0.525
Newman,Kevin,987,PIT,NL,531,12,64,16,0.308,0.8,0.357,3,120,116,-2,SS-2B-3B-OF,0,0.475
Odor,Rougned,1010,TEX,AL,581,30,93,11,0.205,0.721,0.303,-0.3,137,134,-17,2B,0,0.574
Olson,Matt,1014,OAK,AL,547,36,91,0,0.267,0.896,0.373,4.9,127,125,8,1B,0,0.599
Ozuna,Marcell,1026,STL,NL,549,29,89,12,0.241,0.8,0.347,2.3,129,129,3,OF,0,0.531
Pederson,Joc,1049,LAD,NL,514,36,74,1,0.249,0.876,0.365,2.8,136,108,-6,OF-1B,0,0.525
Pham,Tommy,1072,TBR,AL,654,21,68,25,0.273,0.818,0.367,3.9,123,123,-3,OF,0,0.574
Pillar,Kevin,1078,TOT,MLB,645,21,88,14,0.259,0.719,0.311,0.4,156,154,3,OF,0,0
Polanco,Jorge,1094,MIN,AL,704,22,79,4,0.295,0.841,0.364,4.7,142,139,-6,SS,0,0.364
Profar,Jurickson,1108,OAK,AL,518,20,67,9,0.218,0.711,0.306,-0.1,130,121,-7,2B-OF-1B,0,0.599
Puig,Yasiel,1113,TOT,MLB,611,24,84,19,0.267,0.785,0.34,0.9,146,143,0,OF,0,0
Ramos,Wilson,1133,NYM,NL,524,14,73,1,0.288,0.768,0.336,2.1,124,113,-8,C,0,0.444
Ramírez,José,1124,CLE,AL,542,23,83,24,0.255,0.806,0.348,3.1,126,125,2,3B,0,0.414
Realmuto,J.T.,1137,PHI,NL,593,25,83,9,0.275,0.82,0.355,4.5,135,132,17,C-1B,0,0.481
Reddick,Josh,1138,HOU,AL,550,14,56,5,0.275,0.728,0.315,1.3,133,126,-3,OF-1B,0,0.292
Rendon,Anthony,1144,WSN,NL,646,34,126,5,0.319,1.01,0.422,7.1,146,146,10,3B-2B,0,0.66
Reynolds,Bryan,1154,PIT,NL,546,16,68,3,0.314,0.88,0.381,4.2,129,122,-17,OF,0,0.475
Rizzo,Anthony,1171,CHC,NL,613,27,94,5,0.293,0.924,0.395,4.3,146,144,6,1B,0,0.333
Robles,Victor,1178,WSN,NL,617,17,65,28,0.255,0.745,0.334,4.4,152,147,2,OF,0,0.66
Rojas,Miguel,1194,MIA,NL,526,5,46,9,0.284,0.71,0.311,0.9,128,123,5,SS-1B-2B,0,0.426
Rosario,Amed,1205,NYM,NL,655,15,72,19,0.287,0.755,0.329,3,152,151,-10,SS-OF,0,0.444
Rosario,Eddie,1206,MIN,AL,590,32,109,3,0.276,0.8,0.335,1.5,132,129,-10,OF,0,0.364
Sanchez,Yolmer,1232,CHW,AL,555,2,43,5,0.252,0.638,0.293,1.4,149,142,15,2B,0,0.444
Santana,Carlos,1236,CLE,AL,686,34,93,4,0.281,0.911,0.386,4.5,135,135,3,1B,0,0.414
Santana,Danny,1237,TEX,AL,511,28,81,21,0.283,0.857,0.36,2,120,111,-9,OF-1B-2B-3B-SS,0,0.574
Schwarber,Kyle,1249,CHC,NL,610,38,92,2,0.25,0.871,0.362,2.3,141,137,8,OF-C,0,0.333
Seager,Corey,1255,LAD,NL,541,19,87,1,0.272,0.817,0.345,2.9,132,125,10,SS,0,0.525
Segura,Jean,1257,PHI,NL,618,12,60,10,0.28,0.743,0.323,1.7,142,141,-2,SS,0,0.481
Semien,Marcus,1259,OAK,AL,747,33,92,10,0.285,0.892,0.384,8.5,161,161,0,SS,0,0.599
Smith,Mallex,1292,SEA,AL,566,6,37,46,0.227,0.635,0.298,0,132,124,19,OF,0,0.447
Soto,Juan,1312,WSN,NL,659,34,110,12,0.282,0.949,0.404,5,150,150,-3,OF,0,0.66
Story,Trevor,1338,COL,NL,656,35,85,23,0.294,0.917,0.392,7,144,144,14,SS,0,0.352
Suárez,Eugenio,1356,CIN,NL,662,49,103,3,0.271,0.93,0.386,3.4,158,151,-6,3B,0,0.654
Swanson,Dansby,1365,ATL,NL,545,17,65,10,0.251,0.748,0.323,1.1,126,123,-1,SS,0,0.599
Torres,Gleyber,1402,NYY,AL,604,38,90,5,0.278,0.871,0.361,3,139,137,0,SS-2B,0,0.636
Trout,Mike,1410,LAA,AL,600,45,104,11,0.291,1.083,0.444,7.9,122,121,12,OF,1,0.562
Turner,Justin,1417,LAD,NL,549,27,67,2,0.29,0.881,0.382,3.8,124,119,5,3B-2B,0,0.525
Turner,Trea,1418,WSN,NL,569,19,57,35,0.298,0.85,0.372,4,122,122,3,SS,0,0.66
Villar,Jonathan,1452,BAL,AL,714,24,73,40,0.274,0.792,0.346,4.3,160,158,0,2B-SS,0,0.593
Votto,Joey,1462,CIN,NL,608,15,47,5,0.261,0.768,0.349,1.4,133,132,9,1B-OF,0,0.654
Vázquez,Christian,1437,BOS,AL,521,23,72,4,0.276,0.798,0.336,2.3,126,111,4,C-1B-3B-2B,0,0.42
Walker,Christian,1470,ARI,NL,603,29,73,8,0.259,0.825,0.354,2.8,142,132,11,1B,0,0.5
Wong,Kolten,1527,STL,NL,549,11,59,24,0.285,0.784,0.354,5.1,147,134,9,2B,0,0.531
Yelich,Christian,1541,MIL,NL,580,44,97,30,0.329,1.1,0.458,7,124,124,8,OF,0,0.519
