Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS,rOBA,WAR,G,GS,Rtot,Pos,MVP,WinPercentage
Abreu,José,2,CHW,AL,693,33,123,2,0.284,0.834,0.351,2.5,125,125,-1,1B,0,0.444
Acuna Jr.,Ronald,3,ATL,NL,715,41,101,37,0.28,0.883,0.386,5.1,156,154,15,OF,0,0.599
Adames,Willy,6,TBR,AL,584,20,52,4,0.254,0.735,0.32,3.9,152,145,19,SS,0,0.574
Ahmed,Nick,19,ARI,NL,625,19,82,8,0.254,0.753,0.332,4.2,158,155,13,SS,0,0.5
Alberto,Hanser,23,BAL,AL,550,12,51,4,0.305,0.751,0.336,3.5,132,127,11,2B-3B-OF-P,0,0.593
Albies,Ozzie,24,ATL,NL,702,24,86,15,0.295,0.852,0.369,4.9,158,157,2,2B,0,0.599
Alonso,Pete,39,NYM,NL,693,53,120,1,0.26,0.941,0.399,5.5,156,152,7,1B,0,0.444
Altuve,Jose,48,HOU,AL,548,31,74,6,0.298,0.903,0.372,3.8,121,119,-1,2B-SS,0,0.292
Anderson,Tim,63,CHW,AL,518,18,56,17,0.335,0.865,0.369,4.2,122,122,-9,SS,0,0.444
Andrus,Elvis,66,TEX,AL,648,12,72,31,0.275,0.707,0.322,1.5,146,146,-3,SS,0,0.574
Arcia,Orlando,71,MIL,NL,546,15,59,8,0.223,0.633,0.276,-0.7,150,139,-3,SS,0,0.519
Arenado,Nolan,72,COL,NL,662,41,118,3,0.315,0.962,0.404,7.3,154,151,18,3B,0,0.352
Bell,Josh,129,PIT,NL,613,37,116,0,0.277,0.936,0.384,2.8,134,133,-6,1B,0,0.475
Bellinger,Cody,130,LAD,NL,661,47,115,15,0.305,1.035,0.421,8.6,153,151,2,OF-1B,1,0.525
Belt,Brandon,131,SFG,NL,616,17,57,4,0.234,0.742,0.322,0.5,151,134,1,1B-OF,0,0.623
Benintendi,Andrew,135,BOS,AL,615,13,68,10,0.266,0.774,0.337,1.8,136,134,-6,OF,0,0.42
Betts,Mookie,140,BOS,AL,706,29,80,16,0.295,0.915,0.39,7.3,143,142,12,OF,0,0.42
Blackmon,Charlie,157,COL,NL,634,32,86,2,0.314,0.94,0.393,2.3,135,134,-17,OF,0,0.352
Bogaerts,Xander,162,BOS,AL,698,33,117,4,0.309,0.939,0.4,6.3,153,153,-7,SS,0,0.42
Bradley Jr.,Jackie,180,BOS,AL,567,21,62,8,0.225,0.738,0.322,2,145,138,-16,OF,0,0.42
Brantley,Michael,181,HOU,AL,637,22,90,3,0.311,0.875,0.37,4.8,123,118,-3,OF,0,0.292
Bregman,Alex,187,HOU,AL,690,41,112,5,0.296,1.015,0.421,8.9,151,150,10,3B-SS,0,0.292
