,Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS,rOBA,WAR,G,GS,Rtot,Pos,MVP
285,Eckstein,David,331,ANA,AL,637,2,35,16,0.276,0.671,0.319,1.9,138,136,0,SS,0
286,Edmonds,Jim,332,STL,NL,612,42,111,8,0.301,1.061,0.444,7.2,147,142,13,OF-1B,0
292,Encarnacion,Juan,340,TOT,NL,532,16,62,5,0.236,0.704,0.322,0.2,133,131,1,OF,0
296,Erstad,Darin,347,ANA,AL,543,7,69,16,0.295,0.746,0.351,2.8,124,124,-1,1B,0
302,Estrada,Johnny,355,ATL,NL,517,9,76,0,0.314,0.828,0.367,2,133,120,-5,C,0
311,Feliz,Pedro,368,SFG,NL,531,22,84,5,0.276,0.79,0.344,2,127,110,7,1B-3B-SS-OF,0
316,Figgins,Chone,375,ANA,AL,638,5,60,34,0.296,0.77,0.35,2.7,146,142,-3,3B-OF-2B-SS,0
320,Finley,Steve,379,TOT,NL,706,36,94,9,0.271,0.823,0.352,3.2,158,157,1,OF,0
329,Ford,Lew,390,MIN,AL,658,15,72,20,0.299,0.827,0.371,4.5,126,121,6,OF,0
343,Freel,Ryan,408,CIN,NL,592,3,28,37,0.277,0.743,0.348,3.9,137,128,1,OF-3B-2B,0
348,Furcal,Rafael,413,ATL,NL,632,14,59,29,0.279,0.758,0.349,3.4,132,130,1,SS-2B,0
365,Gerut,Jody,435,CLE,AL,548,11,51,13,0.252,0.739,0.334,0.6,131,122,-5,OF,0
372,Giles,Brian,441,SDP,NL,711,23,94,10,0.284,0.849,0.372,3.8,159,158,-10,OF,0
407,Green,Shawn,481,LAD,NL,671,28,86,5,0.266,0.811,0.362,2,153,153,-8,1B-OF,0
408,Greene,Khalil,482,SDP,NL,554,15,65,4,0.273,0.795,0.342,3.2,136,134,7,SS,0
416,Grissom,Marquis,494,SFG,NL,606,22,90,3,0.279,0.773,0.337,0.6,142,138,5,OF,0
422,Guerrero,Vladimir,500,ANA,AL,680,39,126,15,0.337,0.989,0.422,5.6,143,143,6,OF,1
426,Guillen,Jose,505,ANA,AL,621,27,104,5,0.294,0.849,0.37,3.1,135,133,-17,SS,0
427,Guillen,Carlos,504,DET,AL,583,20,97,12,0.318,0.921,0.401,4.6,136,136,-5,OF,0
429,Guzman,Cristian,509,MIN,AL,624,8,46,10,0.274,0.693,0.31,1.4,145,143,-12,SS,0
458,Hatteberg,Scott,545,OAK,AL,638,15,82,0,0.284,0.787,0.355,1.5,148,143,-2,1B,0
464,Helton,Todd,551,COL,NL,683,32,96,3,0.347,1.088,0.465,8.3,153,151,10,1B,0
481,Hidalgo,Richard,568,TOT,NL,579,25,82,4,0.239,0.745,0.319,1.1,142,137,1,OF,0
487,Hillenbrand,Shea,576,ARI,NL,604,15,80,2,0.31,0.812,0.362,0.8,146,144,4,1B-3B,0
489,Hinske,Eric,578,TOR,AL,634,15,69,12,0.246,0.688,0.312,-0.6,153,148,-13,3B,0
504,Hudson,Orlando,595,TOR,AL,551,12,58,7,0.27,0.779,0.353,5.2,133,128,9,2B,0
505,Huff,Aubrey,597,TBD,AL,667,29,104,5,0.297,0.853,0.373,4.3,123,123,0,3B-1B-OF,0
508,Hunter,Torii,600,MIN,AL,569,23,81,21,0.271,0.805,0.35,4.2,126,124,-5,OF,0
510,Ibanez,Raul,602,SEA,AL,524,16,62,1,0.304,0.825,0.355,2.6,120,117,2,OF-1B,0
511,Infante,Omar,603,DET,AL,556,16,55,13,0.264,0.766,0.34,2.2,140,123,-4,2B-SS-OF-3B,0
515,Izturis,Cesar,607,LAD,NL,728,4,62,25,0.288,0.71,0.325,3.8,159,156,11,SS,0
522,Jenkins,Geoff,617,MIL,NL,681,27,93,3,0.264,0.798,0.348,1.5,156,154,9,OF,0
524,Jeter,Derek,619,NYY,AL,721,23,78,23,0.292,0.823,0.378,4.2,154,154,5,SS,0
526,Jimenez,D'Angelo,620,CIN,NL,652,12,67,13,0.27,0.758,0.349,3.6,149,146,1,2B-SS,0
530,Johnson,Reed,627,TOR,AL,582,10,61,6,0.27,0.699,0.318,0.3,137,123,-7,OF,0
534,Jones,Andruw,629,ATL,NL,646,29,91,6,0.261,0.833,0.356,3.2,154,153,17,OF,0
535,Jones,Chipper,630,ATL,NL,567,30,96,2,0.248,0.847,0.38,4,125,122,9,3B-OF,0
