Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS,rOBA,WAR,G,GS,Rtot,Pos,MVP
Martinez,J.D.,837,DET,AL,657,38,102,3,0.282,0.879,0.375,5.4,148,147,7,OF,0
Mauer,Joe,852,MIN,AL,666,10,66,2,0.265,0.718,0.328,1.3,137,135,-3,1B,0
Maybin,Cameron,857,ATL,NL,555,10,59,23,0.267,0.697,0.324,0.6,139,126,-20,OF,0
McCann,Brian,862,NYY,AL,535,26,94,0,0.232,0.756,0.329,2.8,126,119,4,C-1B,0
McCutchen,Andrew,866,PIT,NL,685,23,96,11,0.292,0.889,0.39,5,152,151,4,OF,0
Molina,Yadier,897,STL,NL,530,4,61,3,0.27,0.66,0.294,1.6,134,131,9,C,0
Moreland,Mitch,909,TEX,AL,515,23,85,1,0.278,0.812,0.353,2.3,120,110,2,1B,0
Morrison,Logan,914,SEA,AL,511,17,54,8,0.225,0.685,0.303,-0.1,143,117,-9,1B-OF,0
Moss,Brandon,921,TOT,MLB,526,19,58,0,0.226,0.711,0.307,-0.3,130,121,0,OF-1B,0
Moustakas,Mike,925,KCR,AL,614,22,82,1,0.284,0.817,0.357,4.1,146,140,-3,3B,0
Murphy,Daniel,933,NYM,NL,538,14,73,2,0.281,0.77,0.33,1.2,121,120,-5,2B-3B-1B,0
Norris,Derek,975,SDP,NL,557,14,62,4,0.25,0.709,0.323,2.5,137,131,4,C-1B,0
Owings,Chris,1006,ARI,NL,552,4,43,16,0.227,0.587,0.268,-0.2,138,130,-2,2B-SS,0
Pagán,Ángel,1009,SFG,NL,551,3,37,12,0.262,0.635,0.288,-1.8,124,122,-14,OF,0
Parra,Gerardo,1019,TOT,MLB,589,14,51,14,0.291,0.78,0.341,1.2,144,126,-4,OF,0
Pederson,Joc,1030,LAD,NL,585,26,54,4,0.21,0.763,0.337,2.6,147,137,5,OF,0
Peralta,Jhonny,1044,STL,NL,640,17,71,1,0.275,0.745,0.338,1.2,131,115,2,OF,0
Peralta,David,1043,ARI,NL,517,17,78,9,0.312,0.893,0.391,3.6,148,147,-12,SS,0
Perez,Salvador,1059,KCR,AL,553,21,70,1,0.26,0.706,0.316,2.4,140,137,6,C-1B,0
Peterson,Jace,1063,ATL,NL,597,6,52,12,0.239,0.649,0.29,1,144,137,-6,2B,0
Phillips,Brandon,1071,CIN,NL,623,12,70,23,0.294,0.723,0.339,2.2,141,141,4,2B-SS,0
Pillar,Kevin,1073,TOR,AL,628,12,56,25,0.278,0.713,0.321,5.2,158,155,14,OF,0
Plouffe,Trevor,1080,MIN,AL,632,22,86,2,0.244,0.742,0.335,2.9,152,151,12,3B-1B,0
Polanco,Gregory,1081,PIT,NL,652,9,52,27,0.256,0.701,0.321,2.5,149,137,-4,OF,0
Pollock,AJ,1083,ARI,NL,673,20,76,39,0.315,0.865,0.389,6.9,151,143,19,OF,0
Posey,Buster,1087,SFG,NL,623,19,95,2,0.318,0.849,0.374,5.9,142,140,8,C-1B,0
Prado,Martín,1088,MIA,NL,551,9,63,1,0.288,0.732,0.326,3.4,129,127,8,3B-2B,0
Ramirez,Aramis,1103,TOT,NL,516,17,75,1,0.246,0.72,0.314,-0.3,126,124,-2,3B-1B,0
Ramos,Wilson,1116,WSN,NL,504,15,68,0,0.229,0.616,0.28,1,125,123,11,C,0
Ramírez,Alexei,1102,CHW,AL,622,10,62,17,0.249,0.642,0.296,1.1,152,151,-2,SS-P,0
Reddick,Josh,1128,OAK,AL,582,20,77,10,0.272,0.781,0.35,3.6,143,134,-2,OF,0
Revere,Ben,1137,TOT,MLB,634,2,45,31,0.306,0.719,0.335,3,147,140,-2,OF,0
Rizzo,Anthony,1150,CHC,NL,701,31,101,17,0.278,0.899,0.397,6.4,160,160,7,1B,0
Rollins,Jimmy,1176,LAD,NL,563,13,41,12,0.224,0.643,0.288,0.4,134,128,-4,SS,0
Russell,Addison,1207,CHC,NL,523,13,54,4,0.242,0.696,0.31,2.7,142,137,4,2B-SS,0
Sandoval,Pablo,1231,BOS,AL,505,10,47,0,0.245,0.658,0.297,-0.5,123,122,-10,3B,0
Santana,Carlos,1234,CLE,AL,666,19,85,11,0.231,0.752,0.336,0.4,132,132,-2,1B,0
Seager,Kyle,1260,SEA,AL,686,26,74,6,0.266,0.779,0.341,5.4,160,159,13,3B-SS,0
Segura,Jean,1261,MIL,NL,584,6,50,25,0.257,0.616,0.282,0.6,140,139,9,SS,0
Semien,Marcus,1262,OAK,AL,601,15,45,11,0.257,0.715,0.314,1.7,152,147,-6,SS,0
Simmons,Andrelton,1273,ATL,NL,583,4,44,5,0.265,0.66,0.299,4.5,147,145,15,SS,0
Solarte,Yangervis,1296,SDP,NL,571,14,63,1,0.27,0.748,0.334,2.3,133,124,-3,3B-1B-2B,0
Strange-Gordon,Dee,1317,MIA,NL,653,4,46,58,0.333,0.776,0.349,4.3,145,144,3,2B,0
Trout,Mike,1376,LAA,AL,682,41,90,11,0.299,0.991,0.419,9.6,156,155,16,OF,0
Tulowitzki,Troy,1383,TOT,MLB,534,17,70,1,0.28,0.777,0.346,2.6,121,120,15,SS,0
Upton,Justin,1391,SDP,NL,620,26,81,19,0.251,0.79,0.358,4.2,146,145,-3,OF,0
Votto,Joey,1433,CIN,NL,695,29,80,11,0.314,1,0.437,7.8,156,156,-2,1B,0
Walker,Neil,1441,PIT,NL,603,16,71,4,0.269,0.756,0.333,2.2,146,135,6,2B,0
Wong,Kolten,1473,STL,NL,613,11,61,15,0.262,0.707,0.316,2.6,147,140,-4,2B,0
Yelich,Christian,1484,MIA,NL,525,7,44,16,0.3,0.782,0.353,3.6,124,122,3,OF,0
