Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS,rOBA,WAR,G,GS,Rtot,Pos
Infante,Omar,624,KCR,AL,575,6,66,9,0.252,0.632,0.286,0.5,134,134,-12,2B
Jackson,Austin,630,TOT,AL,656,4,47,20,0.256,0.655,0.301,1.5,154,151,-19,OF
Jeter,Derek,646,NYY,AL,634,4,50,10,0.256,0.617,0.294,-0.7,130,129,-28,SS
Johnson,Chris,650,ATL,NL,611,10,58,6,0.263,0.653,0.297,-0.5,150,149,-10,3B-1B
Jones,Adam,663,BAL,AL,682,29,96,7,0.281,0.78,0.347,4.8,155,153,-1,OF
Jones,Garrett,664,MIA,NL,547,15,53,0,0.246,0.72,0.316,-0.5,137,129,-10,1B-OF
Kemp,Matt,679,LAD,NL,599,25,89,8,0.287,0.852,0.375,1.2,143,137,-17,OF
Kendrick,Howie,680,LAA,AL,674,7,75,14,0.293,0.744,0.34,6.1,154,154,6,2B
Kinsler,Ian,689,DET,AL,726,17,92,15,0.275,0.727,0.331,5.1,160,160,14,2B
Kipnis,Jason,691,CLE,AL,555,6,41,22,0.24,0.64,0.306,0.7,123,121,7,2B
LaRoche,Adam,725,WSN,NL,586,26,92,3,0.259,0.817,0.365,2.4,136,135,1,1B
LeMahieu,DJ,738,COL,NL,538,5,42,10,0.267,0.663,0.299,0.8,148,139,7,2B-3B-SS-1B
Loney,James,757,TBR,AL,651,9,69,4,0.29,0.716,0.327,1.2,152,148,-6,1B
Longoria,Evan,758,TBR,AL,700,22,91,5,0.253,0.724,0.332,3.7,155,154,2,3B
Lowrie,Jed,765,OAK,AL,566,6,50,0,0.249,0.676,0.308,1,130,129,2,SS
Lucroy,Jonathan,767,MIL,NL,655,13,69,4,0.301,0.837,0.376,6.4,149,149,2,C-1B
Markakis,Nick,783,BAL,AL,710,14,50,4,0.276,0.729,0.33,1.9,149,149,1,OF-1B
Marte,Starling,789,PIT,NL,545,13,56,30,0.291,0.808,0.384,4.5,131,123,1,OF
Martín,Leonys,792,TEX,AL,583,7,40,31,0.274,0.689,0.313,4.4,152,140,10,OF
McCutchen,Andrew,825,PIT,NL,648,25,83,18,0.314,0.952,0.423,6.4,146,146,-5,OF
McGehee,Casey,829,MIA,NL,691,4,76,4,0.287,0.712,0.326,0.9,158,158,-4,3B
Mercer,Jordy,839,PIT,NL,555,12,55,4,0.255,0.693,0.308,2.3,144,137,20,SS-OF
Montero,Miguel,858,ARI,NL,560,13,72,0,0.243,0.699,0.312,1,131,130,2,C
Morneau,Justin,870,COL,NL,550,17,82,0,0.319,0.86,0.375,3.4,131,126,11,1B
Moss,Brandon,878,OAK,AL,580,25,81,1,0.234,0.772,0.341,2.1,132,123,-3,OF-1B
Moustakas,Mike,880,KCR,AL,500,15,54,1,0.212,0.632,0.29,0.1,138,126,-4,3B
Murphy,Daniel,883,NYM,NL,642,9,57,13,0.289,0.734,0.334,2.3,142,142,-12,2B-3B-1B
Ozuna,Marcell,935,MIA,NL,612,23,85,3,0.269,0.772,0.346,4.4,151,146,10,OF
Parra,Gerardo,950,TOT,NL,574,9,40,9,0.261,0.677,0.304,-0.5,142,126,-3,OF
