Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS,rOBA,WAR,G,GS,Rtot,Pos,MVP,WinPercentage
Aguilar,Jesús,13,MIL,NL,566,35,108,0,0.274,0.89,0.377,3.4,133,121,5,1B-3B,0,0.506
Ahmed,Nick,14,ARI,NL,564,16,70,5,0.234,0.7,0.31,4.1,148,135,22,SS,0,0.506
Albies,Ozzie,17,ATL,NL,684,24,72,14,0.261,0.757,0.337,4.1,157,151,6,2B,0,0.583
Alonso,Yonder,29,CLE,AL,574,23,83,0,0.25,0.738,0.323,1.5,138,131,-2,1B,0,0.395
Altuve,Jose,31,HOU,AL,599,13,61,17,0.316,0.837,0.371,5.1,130,130,5,2B,0,0.29
Anderson,Brian,36,MIA,NL,670,11,65,2,0.273,0.757,0.346,3,153,153,-11,OF-3B,0,0.414
Anderson,Tim,41,CHW,AL,606,20,64,26,0.24,0.687,0.308,3.7,151,151,1,SS,0,0.383
Andujar,Miguel,50,NYY,AL,606,27,92,2,0.297,0.855,0.371,2.9,136,132,-29,3B,0,0.617
Arenado,Nolan,57,COL,NL,673,38,110,2,0.297,0.935,0.401,6.4,152,152,16,3B,0,0.383
Barnhart,Tucker,88,CIN,NL,522,10,46,0,0.248,0.699,0.309,0.8,128,119,4,C-1B,0,0.636
Bell,Josh,118,PIT,NL,583,12,62,2,0.261,0.768,0.339,0.7,137,135,-7,1B,0,0.494
Bellinger,Cody,119,LAD,NL,632,25,76,14,0.26,0.814,0.363,4.2,161,135,6,1B-OF,0,0.543
Benintendi,Andrew,122,BOS,AL,661,16,87,21,0.29,0.83,0.368,4.8,144,142,10,OF,0,0.407
Betts,Mookie,128,BOS,AL,614,32,80,30,0.346,1.078,0.462,10.7,131,128,18,OF-2B,1,0.407
Blackmon,Charlie,136,COL,NL,696,29,70,12,0.291,0.86,0.376,1,151,151,-13,OF,0,0.383
Bogaerts,Xander,143,BOS,AL,580,23,103,8,0.288,0.883,0.387,4.9,136,134,-4,SS,0,0.407
Bradley Jr.,Jackie,162,BOS,AL,535,13,59,17,0.234,0.717,0.324,2.5,143,137,23,OF,0,0.407
Brantley,Michael,163,CLE,AL,631,17,76,12,0.309,0.832,0.368,3.8,134,134,3,OF,0,0.395
Bregman,Alex,168,HOU,AL,705,31,103,10,0.286,0.926,0.397,7.9,157,157,-4,3B-SS-2B-OF,0,0.29
Báez,Javier,76,CHC,NL,645,34,111,21,0.29,0.881,0.385,6.4,156,145,-2,2B-SS-3B-1B,0,0.358
Cabrera,Asdrúbal,200,TOT,MLB,592,23,75,0,0.262,0.774,0.338,1,132,128,-8,2B-SS-3B,0,0
Cain,Lorenzo,205,MIL,NL,620,10,38,30,0.308,0.813,0.379,6.9,138,137,-3,OF,0,0.506
Calhoun,Kole,206,LAA,AL,552,19,57,6,0.208,0.652,0.285,0,136,129,9,OF,0,0.556
Camargo,Johan,208,ATL,NL,524,19,76,1,0.272,0.806,0.357,3.2,130,122,3,3B-SS-2B,0,0.583
Candelario,Jeimer,209,DET,AL,619,19,54,3,0.224,0.71,0.316,0.9,140,139,-5,3B,0,0.556
Carpenter,Matt,214,STL,NL,677,36,81,4,0.257,0.897,0.379,4.4,150,147,-7,1B-3B-2B,0,0.549
Castellanos,Nick,219,DET,AL,678,23,89,2,0.298,0.854,0.375,2.8,142,142,-8,OF,0,0.556
Castro,Starlin,228,MIA,NL,647,12,54,6,0.278,0.729,0.333,1.7,150,149,-1,2B,0,0.414
Chapman,Matt,241,OAK,AL,616,24,68,1,0.278,0.864,0.37,7.6,145,144,18,3B,0,0.589
Conforto,Michael,275,NYM,NL,638,28,82,3,0.243,0.797,0.35,2.7,144,140,-4,OF,0,0.451
Contreras,Willson,278,CHC,NL,544,10,54,4,0.249,0.73,0.33,3.1,134,123,9,C-OF-1B,0,0.358
Crawford,Brandon,292,SFG,NL,594,14,54,4,0.254,0.719,0.31,1.5,146,141,2,SS,0,0.599
Desmond,Ian,333,COL,NL,619,22,88,20,0.236,0.729,0.337,-0.1,150,147,4,1B-OF-SS,0,0.383
Dickerson,Corey,344,PIT,NL,533,13,55,8,0.3,0.804,0.35,3.6,124,122,16,OF,0,0.494
Dietrich,Derek,348,MIA,NL,551,16,45,2,0.265,0.751,0.335,-0.3,127,114,-13,OF-1B-2B-3B,0,0.414
Dozier,Brian,356,TOT,MLB,632,21,72,12,0.215,0.696,0.31,1,148,141,-3,2B,0,0
Duffy,Matt,373,TBR,AL,560,4,44,12,0.294,0.727,0.331,2.9,125,121,5,3B-SS,0,0.558
Escobar,Alcides,398,KCR,AL,531,4,34,8,0.231,0.593,0.275,-2.2,140,139,-22,SS-3B-OF-2B,0,0.414
Escobar,Eduardo,399,TOT,MLB,631,23,84,2,0.272,0.824,0.349,3.1,151,145,-3,3B-SS-2B,0,0
Freeman,Freddie,453,ATL,NL,707,23,98,10,0.309,0.892,0.392,5.5,161,160,4,1B,0,0.583
Gallo,Joey,474,TEX,AL,577,40,92,3,0.206,0.81,0.34,2.4,137,132,0,OF-1B,0,0.562
Galvis,Freddy,476,SDP,NL,656,13,67,8,0.248,0.68,0.301,1.9,162,162,-1,SS-2B,0,0.481
Gardner,Brett,490,NYY,AL,609,12,45,16,0.236,0.69,0.317,3.3,136,130,-3,OF,0,0.617
Gennett,Scooter,503,CIN,NL,638,23,92,4,0.31,0.847,0.372,3,142,140,-17,2B,0,0.636
Goldschmidt,Paul,524,ARI,NL,690,33,83,7,0.29,0.922,0.407,5.5,155,154,7,1B,0,0.506
Gonzalez,Marwin,538,HOU,AL,552,16,68,2,0.247,0.733,0.327,2.4,140,136,3,OF-SS-2B-1B-3B,0,0.29
Gordon,Alex,544,KCR,AL,568,13,54,12,0.245,0.694,0.309,2,136,134,8,OF,0,0.414
Grandal,Yasmani,549,LAD,NL,518,24,68,2,0.241,0.815,0.36,3.6,137,111,2,C-1B,0,0.543
Gregorius,Didi,562,NYY,AL,569,27,86,10,0.268,0.829,0.36,4.9,132,130,4,SS,0,0.617
Gurriel,Yuli,578,HOU,AL,573,13,85,5,0.291,0.751,0.344,2.7,129,124,3,1B-3B-2B-SS,0,0.29
Hamilton,Billy,591,CIN,NL,556,4,29,34,0.236,0.626,0.287,0.7,150,138,9,OF,0,0.636
Haniger,Mitch,599,SEA,AL,683,26,93,8,0.285,0.859,0.377,6.5,156,156,1,OF,0,0.475
Harper,Bryce,605,WSN,NL,695,34,100,13,0.249,0.889,0.385,1.8,156,154,-14,OF-1B,0,0.667
Healy,Ryon,614,SEA,AL,524,24,73,0,0.235,0.688,0.302,-0.6,131,128,-10,1B-3B,0,0.475
Hernández,César,628,PHI,NL,708,15,60,19,0.253,0.718,0.335,2.1,154,153,-2,2B,0,0.494
Herrera,Odúbel,639,PHI,NL,597,22,71,5,0.255,0.73,0.319,0.5,145,140,-9,OF,0,0.494
Hicks,Aaron,646,NYY,AL,581,27,79,11,0.248,0.833,0.366,4.4,131,129,-13,OF,0,0.617
Hoskins,Rhys,665,PHI,NL,660,34,96,5,0.246,0.85,0.373,1.1,146,145,-14,OF-1B,0,0.494
Hosmer,Eric,666,SDP,NL,677,18,69,7,0.253,0.72,0.317,0.9,157,155,-1,1B,0,0.481
Inciarte,Ender,684,ATL,NL,660,10,61,28,0.265,0.705,0.315,3.2,155,151,8,OF,0,0.583
Jones,Adam,705,BAL,AL,613,15,63,7,0.281,0.732,0.328,0.6,139,138,-15,OF,0,0.564
