Last Name,First Name,Rk,Tm,Lg,PA,HR,RBI,SB,BA,OPS,rOBA,WAR,G,GS,Rtot,Pos,MVP,WinPercentage
Kemp,Matt,727,LAD,NL,506,21,85,0,0.29,0.818,0.354,1.2,120,114,0,OF,0,0.543
Kepler,Max,732,MIN,AL,611,20,58,4,0.224,0.727,0.32,3.5,150,142,16,OF-1B,0,0.391
Kinsler,Ian,743,TOT,MLB,534,14,48,16,0.24,0.681,0.304,2.4,128,124,6,2B,0,0
Kipnis,Jason,749,CLE,AL,601,18,75,7,0.23,0.704,0.317,1.2,145,143,-7,2B-OF,0,0.395
LeMahieu,DJ,783,COL,NL,581,15,62,6,0.276,0.749,0.334,2.9,128,127,23,2B,0,0.383
Lindor,Francisco,790,CLE,AL,745,38,92,25,0.277,0.871,0.375,7.2,157,157,2,SS,0,0.395
Longoria,Evan,801,SFG,NL,512,16,54,3,0.244,0.694,0.31,1.4,123,120,-1,3B,0,0.599
Lowrie,Jed,813,OAK,AL,680,23,99,0,0.267,0.801,0.352,4,150,147,8,2B-3B,0,0.589
Machado,Manny,828,TOT,MLB,709,37,107,14,0.297,0.905,0.383,6.1,162,161,-5,SS-3B,0,0
Mancini,Trey,844,BAL,AL,636,24,58,0,0.242,0.715,0.313,0.8,136,134,-7,OF-1B,0,0.564
Margot,Manuel,846,SDP,NL,519,8,51,11,0.245,0.675,0.291,1.3,136,123,8,OF,0,0.481
Markakis,Nick,849,ATL,NL,705,14,93,1,0.297,0.806,0.352,2.6,160,160,10,OF,0,0.583
Marte,Starling,855,PIT,NL,606,20,72,33,0.277,0.787,0.352,4,146,132,17,2B-SS,0,0.494
Marte,Ketel,854,ARI,NL,580,14,59,6,0.26,0.768,0.345,3.9,139,136,15,OF,0,0.506
Martínez,José,863,STL,NL,590,17,83,0,0.305,0.821,0.365,1.8,127,126,-6,1B-OF,0,0.549
McCutchen,Andrew,887,TOT,MLB,682,20,65,14,0.255,0.792,0.354,2.5,152,151,-4,OF,0,0
Merrifield,Whit,919,KCR,AL,707,12,60,45,0.304,0.806,0.36,4.5,147,147,-2,2B-OF-1B,0,0.414
Molina,Yadier,940,STL,NL,503,20,74,4,0.261,0.75,0.333,1.5,121,120,6,C-1B,0,0.549
Moncada,Yoán,941,CHW,AL,650,17,61,12,0.235,0.714,0.315,1.4,149,148,-16,2B,0,0.383
Moustakas,Mike,962,TOT,MLB,635,28,95,4,0.251,0.774,0.333,2,132,129,-1,3B-1B,0,0
Nimmo,Brandon,994,NYM,NL,535,17,47,9,0.263,0.886,0.394,4.6,126,115,1,OF,0,0.451
Odor,Rougned,1013,TEX,AL,535,18,63,12,0.253,0.751,0.321,2.5,127,123,12,2B,0,0.562
Olson,Matt,1020,OAK,AL,660,29,84,2,0.247,0.788,0.346,3.7,162,152,11,1B,0,0.589
Ozuna,Marcell,1033,STL,NL,628,23,88,3,0.28,0.758,0.337,2.4,147,146,7,OF,0,0.549
Peralta,David,1054,ARI,NL,614,30,87,4,0.293,0.868,0.379,3.4,140,137,1,OF,0,0.506
Peraza,José,1058,CIN,NL,683,14,58,23,0.288,0.742,0.33,2.2,156,152,-12,SS-OF,0,0.636
Pham,Tommy,1079,TOT,MLB,570,21,63,15,0.275,0.83,0.366,3.4,128,126,-2,OF,0,0
Pillar,Kevin,1089,TOR,AL,542,15,59,14,0.252,0.708,0.319,2.3,142,132,12,OF,0,0.451
Piscotty,Stephen,1093,OAK,AL,605,27,88,2,0.267,0.821,0.355,2.9,151,148,-5,OF,0,0.589
Polanco,Gregory,1098,PIT,NL,535,23,81,12,0.254,0.839,0.36,2.2,124,122,4,OF,0,0.494
Profar,Jurickson,1113,TEX,AL,594,20,77,10,0.254,0.793,0.347,1.7,142,136,-10,SS-3B-1B-2B-OF,0,0.562
Ramírez,José,1123,CLE,AL,698,39,105,34,0.27,0.939,0.403,7.5,153,153,1,3B-2B,0,0.395
Rendon,Anthony,1147,WSN,NL,597,24,92,2,0.308,0.909,0.388,5.1,136,135,8,3B,0,0.667
Rizzo,Anthony,1167,CHC,NL,665,25,101,6,0.283,0.846,0.367,3.1,153,148,12,1B-P-2B,0,0.358
Rojas,Miguel,1187,MIA,NL,528,11,53,6,0.252,0.643,0.302,1.1,139,125,4,SS-3B-1B-2B,0,0.414
Rosario,Amed,1201,NYM,NL,592,9,51,24,0.256,0.676,0.301,1.1,146,141,-6,SS,0,0.451
Rosario,Eddie,1202,MIN,AL,592,24,77,8,0.288,0.803,0.34,4.3,127,121,-11,OF-3B,0,0.391
Sanchez,Yolmer,1228,CHW,AL,662,8,55,14,0.242,0.678,0.306,2.5,151,149,2,3B-2B-SS,0,0.383
Santana,Carlos,1231,PHI,NL,679,24,86,2,0.229,0.766,0.342,2,159,157,7,1B-3B,0,0.494
Schoop,Jonathan,1244,TOT,MLB,501,21,61,1,0.233,0.682,0.295,2.4,124,113,3,2B-SS,0,0
Schwarber,Kyle,1247,CHC,NL,510,26,61,4,0.238,0.823,0.346,2.1,120,115,9,OF,0,0.358
Seager,Kyle,1252,SEA,AL,630,22,78,2,0.221,0.673,0.289,1.1,154,150,4,3B-2B,0,0.475
Segura,Jean,1253,SEA,AL,632,10,63,20,0.304,0.755,0.333,3.7,144,144,11,SS,0,0.475
Semien,Marcus,1254,OAK,AL,703,15,70,14,0.255,0.706,0.316,4.4,159,158,7,SS,0,0.589
Shaw,Travis,1262,MIL,NL,587,32,86,5,0.241,0.825,0.362,4.5,146,138,11,3B-2B-1B,0,0.506
Simmons,Andrelton,1273,LAA,AL,600,11,75,10,0.292,0.754,0.337,5.7,145,145,3,SS,0,0.556
Smith,Mallex,1290,TBR,AL,544,2,40,40,0.296,0.773,0.349,3.5,138,127,3,OF,0,0.558
Smoak,Justin,1293,TOR,AL,594,25,77,0,0.242,0.808,0.353,2.5,134,127,-4,1B,0,0.451
Span,Denard,1313,TOT,MLB,501,11,58,9,0.261,0.76,0.333,2,121,104,-5,OF,0,0
Springer,George,1317,HOU,AL,620,22,71,6,0.265,0.78,0.343,2.9,128,127,12,OF,0,0.29
Story,Trevor,1335,COL,NL,656,37,108,27,0.291,0.914,0.401,6.2,156,156,3,SS,0,0.383
Strange-Gordon,Dee,1338,SEA,AL,588,4,36,30,0.268,0.637,0.284,1.2,136,133,-1,2B-OF-SS,0,0.475
Suárez,Eugenio,1348,CIN,NL,606,34,104,1,0.283,0.892,0.385,4,143,141,0,3B-SS,0,0.636
Swanson,Dansby,1356,ATL,NL,533,14,59,10,0.238,0.699,0.307,2.2,136,132,6,SS,0,0.583
Taylor,Chris,1367,LAD,NL,604,17,63,9,0.254,0.775,0.343,4.3,142,128,4,SS-OF-2B,0,0.543
Trout,Mike,1396,LAA,AL,608,39,79,24,0.312,1.088,0.455,9.9,125,124,4,OF,0,0.556
Turner,Trea,1410,WSN,NL,740,19,73,43,0.271,0.76,0.353,4.7,159,158,-5,SS,0,0.667
Upton,Justin,1412,LAA,AL,613,30,85,8,0.257,0.808,0.357,3.7,140,140,9,OF,0,0.556
Villar,Jonathan,1445,TOT,MLB,515,14,46,35,0.26,0.709,0.333,2.9,128,118,0,2B-SS,0,0
Votto,Joey,1458,CIN,NL,623,12,67,2,0.284,0.837,0.375,3.6,139,137,5,1B,0,0.636
Wendle,Joey,1482,TBR,AL,545,7,61,16,0.3,0.789,0.348,4.9,137,122,9,2B-3B-OF-SS,0,0.558
Yelich,Christian,1523,MIL,NL,651,36,110,22,0.326,1,0.437,7.3,145,143,7,OF,1,0.506
Zobrist,Ben,1536,CHC,NL,520,9,58,3,0.305,0.817,0.361,3.5,125,107,11,OF-2B-1B,0,0.358
