Last Name,First Name,Rk,Tm,PA,HR,RBI,SB,BA,OPS,rOBA,WAR,G,GS,Rtot,Pos,MVP
Abreu,Bobby,3,NYY,699,16,101,25,0.283,0.814,0.364,2.4,157,150,-10,OF,0
Atkins,Garrett,33,COL,684,25,111,3,0.301,0.853,0.37,0.4,156,155,-2,3B-1B,0
Bartlett,Jason,65,MIN,570,5,43,23,0.265,0.699,0.332,4.6,138,135,4,SS,0
Bautista,José,71,PIT,614,15,63,6,0.254,0.753,0.335,-0.6,141,140,-4,3B-OF,0
Bay,Jason,72,PIT,614,21,84,4,0.247,0.746,0.336,-0.3,142,142,-14,OF,0
Belliard,Ronnie,82,WSN,557,11,58,3,0.29,0.759,0.338,2,129,122,-9,2B-1B-SS-3B,0
Beltrán,Carlos,84,NYM,636,33,112,23,0.276,0.878,0.38,5.4,141,141,11,OF,0
Beltré,Adrián,85,SEA,639,26,99,14,0.276,0.802,0.356,3.8,147,146,-3,3B,0
Berkman,Lance,93,HOU,668,34,102,7,0.278,0.896,0.389,2.2,150,149,-15,1B-OF,0
Betancourt,Yuniesky,96,SEA,559,9,67,5,0.289,0.725,0.325,2,152,147,-1,SS,0
Blake,Casey,104,CLE,662,18,78,4,0.27,0.776,0.345,2.8,155,146,2,3B-OF-1B,0
Burrell,Pat,163,PHI,598,30,97,0,0.256,0.902,0.396,1.5,138,138,-15,OF,0
Byrnes,Eric,173,ARI,699,21,83,50,0.286,0.813,0.372,3.7,160,159,24,OF,0
Cabrera,Miguel,179,FLA,680,34,119,2,0.32,0.965,0.405,3.2,147,137,8,OF,0
Cabrera,Orlando,180,LAA,701,8,86,20,0.301,0.742,0.348,4.2,153,152,-10,3B,0
Cabrera,Melky,178,NYY,612,8,73,13,0.273,0.718,0.326,1.6,153,153,0,SS,0
Cameron,Mike,188,SDP,651,21,78,18,0.242,0.759,0.339,3.2,150,148,-4,OF,0
Canó,Robinson,190,NYY,669,19,97,4,0.306,0.841,0.366,6.7,159,157,15,2B,0
Castillo,Luis,212,TOT,615,1,38,19,0.301,0.721,0.343,3,135,133,-11,2B,0
Church,Ryan,233,WSN,530,15,70,3,0.272,0.813,0.361,3.3,128,126,4,OF,0
Crawford,Carl,278,TBD,627,11,80,50,0.315,0.82,0.38,4,139,136,3,OF,0
Crisp,Coco,280,BOS,591,6,60,28,0.268,0.712,0.329,3.3,144,137,31,OF,0
Cuddyer,Michael,286,MIN,623,16,81,5,0.276,0.79,0.362,3.1,144,144,-3,OF-1B,0
DeJesus,David,308,KCR,703,7,58,10,0.26,0.722,0.339,2.6,156,153,7,OF,0
