Rk,Name,Tm,Lg,PA,HR,RBI,SB,BA,OPS,G,GS,Rtot,Pos Summary,rOBA,WAR
1321,Dontrelle Willis*,DET,AL,1,0,0,0,0,0,,,,,,
1322,Reggie Willits#,LAA,AL,92,0,6,5,0.213,0.493,,,,,,
1323,Bobby Wilson,LAA,AL,6,0,0,0,0.2,0.6,,,,,,
1324,Brian Wilson,SFG,NL,2,0,0,0,0,0,,,,,,
1325,C.J. Wilson*,TEX,AL,0,0,0,0,,,,,,,,
1326,Jack Wilson,TOT,MLB,402,5,39,3,0.255,0.654,,,,,,
1327,Jack Wilson,PIT,NL,286,4,31,2,0.267,0.691,,,,,,
1328,Jack Wilson,SEA,AL,116,1,8,1,0.224,0.562,,,,,,
1329,Josh Wilson,TOT,MLB,211,3,13,1,0.219,0.612,,,,,,
1330,Josh Wilson,TOT,NL,73,0,3,0,0.156,0.453,,,,,,
1331,Josh Wilson,ARI,NL,30,0,2,0,0.231,0.603,,,,,,
1332,Josh Wilson,SDP,NL,43,0,1,0,0.105,0.348,,,,,,
1333,Josh Wilson,SEA,AL,138,3,10,1,0.25,0.693,,,,,,
1334,Randy Winn#,SFG,NL,597,2,51,16,0.262,0.671,,,,,,
1335,Dewayne Wise*,CHW,AL,153,2,11,4,0.225,0.628,,,,,,
1336,Randy Wolf*,LAD,NL,81,1,11,1,0.162,0.459,,,,,,
1337,Brian Wolfe,TOR,AL,0,0,0,0,,,,,,,,
1338,Brandon Wood,LAA,AL,46,1,3,0,0.195,0.559,,,,,,
1339,Kerry Wood,CLE,AL,0,0,0,0,,,,,,,,
1340,Tim Wood,FLA,NL,2,0,0,0,0.5,1,,,,,,
1341,Chris Woodward,TOT,AL,90,0,5,1,0.215,0.52,,,,,,
1342,Chris Woodward,SEA,AL,74,0,5,1,0.239,0.541,,,,,,
1343,Chris Woodward,BOS,AL,16,0,0,0,0.083,0.396,,,,,,
1344,David Wright,NYM,NL,618,10,72,27,0.307,0.837,,,,,,
1345,Jamey Wright,KCR,AL,0,0,0,0,,,,,,,,
1346,Wesley Wright,HOU,NL,4,0,0,0,0.25,0.5,,,,,,
1347,Michael Wuertz,OAK,AL,0,0,0,0,,,,,,,,
1348,Tyler Yates,PIT,NL,0,0,0,0,,,,,,,,
1349,Kevin Youkilis,BOS,AL,588,27,94,7,0.305,0.961,,,,,,
1350,Chris Young,SDP,NL,26,0,2,0,0.261,0.581,,,,,,
1351,Chris Young,ARI,NL,501,15,42,11,0.212,0.711,,,,,,
1352,Delmon Young,MIN,AL,416,12,60,2,0.284,0.733,,,,,,
1353,Delwyn Young#,PIT,NL,388,7,43,2,0.266,0.707,,,,,,
1354,Eric Young Jr.#,COL,NL,61,1,1,4,0.246,0.611,,,,,,
1355,Michael Young,TEX,AL,593,22,68,8,0.322,0.892,,,,,,
1356,Carlos Zambrano#,CHC,NL,72,4,11,0,0.217,0.689,,,,,,
1357,Gregg Zaun#,TOT,AL,296,8,27,0,0.26,0.761,,,,,,
1358,Gregg Zaun#,BAL,AL,197,4,13,0,0.244,0.73,,,,,,
1359,Gregg Zaun#,TBR,AL,99,4,14,0,0.287,0.813,,,,,,
1360,Clay Zavada*,ARI,NL,1,0,0,0,,,,,,,,
1361,Brad Ziegler,OAK,AL,0,0,0,0,,,,,,,,
1362,Ryan Zimmerman,WSN,NL,694,33,106,2,0.292,0.888,,,,,,
1363,Jordan Zimmermann,WSN,NL,34,0,2,0,0.148,0.327,,,,,,
1364,Barry Zito*,SFG,NL,67,0,0,0,0.118,0.299,,,,,,
1365,Ben Zobrist#,TBR,AL,599,27,91,17,0.297,0.948,,,,,,
1366,Joel Zumaya,DET,AL,0,0,0,0,,,,,,,,
