Rk,Name,Tm,Lg,PA,HR,RBI,SB,BA,OPS,G,GS,Rtot,Pos Summary,rOBA,WAR
1088,Leo Rosales,ARI,NL,3,0,0,0,0,0,23,20,-3,OF,0.311,0
1089,Cody Ross,FLA,NL,604,24,90,5,0.27,0.79,71,0,,P,0.314,0
1090,David Ross,ATL,NL,151,7,20,0,0.273,0.888,11,0,,P,0.266,0.2
1091,Aaron Rowand,SFG,NL,546,15,64,4,0.261,0.738,139,109,-9,3B-2B-OF,0.22,0
1092,Carlos Ruiz,PHI,NL,379,9,43,3,0.255,0.78,69,0,,P,0.273,0.5
1093,Randy Ruiz,TOR,AL,130,10,17,1,0.313,1.019,4,0,,P,0.457,0.2
1094,Dan Runzler*,SFG,NL,0,0,0,0,,,64,0,,P,0.268,
1095,Glendon Rusch*,COL,NL,6,0,0,0,0.333,0.833,7,0,,P,0.262,
1096,Adam Russell,SDP,NL,1,0,0,0,0,0,42,40,11,OF,0.296,0.1
1097,Rusty Ryal,ARI,NL,68,3,9,0,0.271,0.946,10,10,,P,0.38,-0.6
1098,B.J. Ryan*,TOR,AL,0,0,0,0,,,44,32,2,OF,0.458,0
1099,Brendan Ryan,STL,NL,429,3,37,14,0.292,0.74,30,30,,P,0.42,0
1100,Dusty Ryan,DET,AL,30,0,4,0,0.154,0.459,22,11,2,2B-OF-SS-3B,0.32,0.7
1101,CC Sabathia*,NYY,AL,4,0,1,0,0.25,0.5,145,145,13,OF,0.276,0
1102,Billy Sadler,HOU,NL,1,0,0,0,0,0,135,132,2,C,0.318,0
1103,Ryan Sadowski,SFG,NL,12,0,0,0,0.1,0.2,12,12,,P,0.322,0
1104,Takashi Saito*,BOS,AL,0,0,0,0,,,5,5,-2,1B,0.287,
1105,Jeff Salazar*,PIT,NL,26,0,1,1,0.043,0.197,132,121,1,OF,0.394,1.3
1106,Oscar Salazar,TOT,MLB,154,5,25,0,0.302,0.86,6,0,,P,0.29,0
1107,Oscar Salazar,BAL,AL,33,2,6,0,0.419,1.067,144,140,2,OF-1B-P,0.338,0.8
1108,Oscar Salazar,SDP,NL,121,3,19,0,0.269,0.802,4,0,,P,0.337,0
1109,Jarrod Saltalamacchia#,TEX,AL,310,9,34,0,0.233,0.661,3,2,-3,OF,0.34,-0.1
1110,Jeff Samardzija,CHC,NL,6,1,1,0,0.2,1,28,0,,P,,4.7
1111,Clint Sammons,ATL,NL,12,0,0,0,0.182,0.432,37,25,,P,0.388,3.4
1112,Chris Sampson,HOU,NL,2,0,0,0,0,0,24,0,,P,0.185,0
1113,Brian Sanches,FLA,NL,5,0,1,0,0,0,96,79,11,1B-3B-OF-2B-SS,0.168,0.4
1114,Aníbal Sánchez,FLA,NL,31,0,0,0,0,0.115,26,19,1,C,0.412,3
1115,Duaner Sanchez,SDP,NL,0,0,0,0,,,42,0,,P,,0
1116,Freddy Sanchez,TOT,NL,489,7,41,5,0.293,0.742,98,95,19,OF,,1.9
1117,Freddy Sanchez,PIT,NL,382,6,34,5,0.296,0.776,3,3,,P,,0
1118,Freddy Sanchez,SFG,NL,107,1,7,0,0.284,0.619,6,4,,P,,-0.1
1119,Gaby Sanchez,FLA,NL,23,2,3,0,0.238,0.828,60,54,3,C,,0
